[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Anastrozole.]
[J01EC02, sulfadiazine, The metabolism of Anastrozole can be decreased when combined with Sulfadiazine.]
[L02BA01, tamoxifen, The serum concentration of Anastrozole can be decreased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of cardiotoxicity can be increased when Teniposide is combined with Anastrozole.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Tetracaine.]
[N04BC07, apomorphine, The metabolism of Anastrozole can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of cardiotoxicity can be increased when Thalidomide is combined with Anastrozole.]
[R03DA04, theophylline, The metabolism of Anastrozole can be decreased when combined with Theophylline.]
[B01AC05, ticlopidine, The metabolism of Anastrozole can be decreased when combined with Ticlopidine.]
[V04CA01, tolbutamide, The metabolism of Anastrozole can be decreased when combined with Tolbutamide.]
[L01XF01, tretinoin, The risk or severity of cardiotoxicity can be increased when Tretinoin is combined with Anastrozole.]
[R03BA07, mometasone, The metabolism of Anastrozole can be decreased when combined with Mometasone.]
[N03AC02, trimethadione, The metabolism of Anastrozole can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Anastrozole can be decreased when combined with Trimethoprim.]
[L02BX03, abiraterone, The metabolism of Anastrozole can be decreased when combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Anastrozole can be decreased when combined with Rilpivirine.]
[C08DA01, verapamil, The metabolism of Anastrozole can be decreased when combined with Verapamil.]
[L01CA01, vinblastine, The risk or severity of cardiotoxicity can be increased when Vinblastine is combined with Anastrozole.]
[L01CA02, vincristine, The risk or severity of cardiotoxicity can be increased when Vincristine is combined with Anastrozole.]
[L01CA03, vindesine, The risk or severity of cardiotoxicity can be increased when Vindesine is combined with Anastrozole.]
[J05AF01, zidovudine, The metabolism of Anastrozole can be decreased when combined with Zidovudine.]
[L01EC01, vemurafenib, The metabolism of Anastrozole can be decreased when combined with Vemurafenib.]
[L03AB11, peginterferon alfa-2a, The risk or severity of cardiotoxicity can be increased when Peginterferon alfa-2a is combined with Anastrozole.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Anastrozole.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Anastrozole is combined with Pertuzumab.]
[L02BB04, enzalutamide, The metabolism of Anastrozole can be decreased when combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Anastrozole can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The metabolism of Anastrozole can be decreased when combined with Teriflunomide.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Anastrozole.]
[L01EX07, cabozantinib, The metabolism of Anastrozole can be decreased when combined with Cabozantinib.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Anastrozole.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Anastrozole.]
[A06AX06, tegaserod, The metabolism of Anastrozole can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Anastrozole can be decreased when combined with Celecoxib.]
[L01EC02, dabrafenib, The serum concentration of Anastrozole can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Anastrozole can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Anastrozole.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Anastrozole.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Anastrozole.]
[L04AA32, apremilast, The metabolism of Anastrozole can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Anastrozole can be increased when combined with Betamethasone.]
[C10AB02, bezafibrate, The metabolism of Anastrozole can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Anastrozole can be increased when combined with Siltuximab.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Anastrozole.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Anastrozole.]
[L04AC10, secukinumab, The metabolism of Anastrozole can be increased when combined with Secukinumab.]
[L01DC01, bleomycin, The risk or severity of cardiotoxicity can be increased when Bleomycin is combined with Anastrozole.]
[A02BC03, lansoprazole, The metabolism of Anastrozole can be decreased when combined with Lansoprazole.]
[J02AC05, isavuconazole, The metabolism of Anastrozole can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Anastrozole.]
