[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Interferon alfa-2a.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Interferon alfa-2a.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Antithymocyte immunoglobulin (rabbit).]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Streptozocin.]
[L04AA27, fingolimod, Interferon alfa-2a may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Interferon alfa-2a.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Interferon alfa-2a.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Interferon alfa-2a.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Interferon alfa-2a.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Interferon alfa-2a.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2a is combined with Tetracaine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Interferon alfa-2a.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Interferon alfa-2a.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Interferon alfa-2a.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Tioguanine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Interferon alfa-2a.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfa-2a.]
