[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Interferon alfa-2b.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Interferon alfa-2b.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Interferon alfa-2b.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Streptozocin.]
[L04AA27, fingolimod, Interferon alfa-2b may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Interferon alfa-2b.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Interferon alfa-2b.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Interferon alfa-2b.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Interferon alfa-2b.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Teniposide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Interferon alfa-2b.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Tetracaine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Interferon alfa-2b.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Interferon alfa-2b.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Interferon alfa-2b.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Tioguanine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Interferon alfa-2b.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Interferon alfa-2b.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Interferon alfa-2b.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Interferon alfa-2b.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Interferon alfa-2b.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Interferon alfa-2b.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Trifluridine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mometasone.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Interferon alfa-2b.]
