[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Leflunomide.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Leflunomide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Leflunomide.]
[L04AA27, fingolimod, Leflunomide may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Leflunomide can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Leflunomide can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Leflunomide.]
[J01EC03, sulfamoxole, The metabolism of Leflunomide can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Leflunomide can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Leflunomide can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Leflunomide can be decreased when combined with Sulfisoxazole.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Leflunomide.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Leflunomide.]
[N06DA01, tacrine, The serum concentration of Tacrine can be decreased when it is combined with Leflunomide.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be decreased when it is combined with Leflunomide.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Leflunomide.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Leflunomide.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Leflunomide.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Leflunomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be decreased when it is combined with Leflunomide.]
[R03DA04, theophylline, The serum concentration of Theophylline can be decreased when it is combined with Leflunomide.]
[P02CA02, thiabendazole, The serum concentration of Thiabendazole can be decreased when it is combined with Leflunomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Leflunomide.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Leflunomide.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Leflunomide.]
[N05AF04, thiothixene, The serum concentration of Thiothixene can be decreased when it is combined with Leflunomide.]
[B01AC05, ticlopidine, The metabolism of Leflunomide can be decreased when combined with Ticlopidine.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Leflunomide.]
[V04CA01, tolbutamide, The serum concentration of Tolbutamide can be increased when it is combined with Leflunomide.]
[N06AF04, tranylcypromine, The metabolism of Leflunomide can be decreased when combined with Tranylcypromine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Leflunomide.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Leflunomide.]
[C03DB02, triamterene, The serum concentration of Triamterene can be decreased when it is combined with Leflunomide.]
[N05CD05, triazolam, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triazolam is combined with Leflunomide.]
[N05AB06, trifluoperazine, The serum concentration of Trifluoperazine can be decreased when it is combined with Leflunomide.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Leflunomide.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Fluclorolone is combined with Leflunomide.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Leflunomide.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Leflunomide.]
[J01EA01, trimethoprim, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Trimethoprim is combined with Leflunomide.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Leflunomide.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Leflunomide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Leflunomide.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Leflunomide can be increased when it is combined with Abiraterone.]
[J05AG05, rilpivirine, Rilpivirine may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Leflunomide.]
[B01AC24, ticagrelor, The metabolism of Leflunomide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Verapamil can be decreased when it is combined with Leflunomide.]
[N06AX09, viloxazine, The metabolism of Leflunomide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Leflunomide.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Leflunomide.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Leflunomide.]
[B01AA03, warfarin, The serum concentration of Warfarin can be decreased when it is combined with Leflunomide.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Leflunomide.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Leflunomide.]
[L01EC01, vemurafenib, The serum concentration of Leflunomide can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Leflunomide.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Brentuximab vedotin is combined with Leflunomide.]
[R03DC01, zafirlukast, The metabolism of Leflunomide can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ibandronate is combined with Leflunomide.]
[J01MA13, trovafloxacin, The metabolism of Leflunomide can be decreased when combined with Trovafloxacin.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Leflunomide.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Leflunomide.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Leflunomide.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Leflunomide.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Leflunomide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Leflunomide.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Leflunomide.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be decreased when it is combined with Leflunomide.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Prednylidene is combined with Leflunomide.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Leflunomide.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Leflunomide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Leflunomide.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Leflunomide.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Leflunomide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Leflunomide.]
[A08AA11, lorcaserin, The serum concentration of Lorcaserin can be decreased when it is combined with Leflunomide.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Leflunomide.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L02BB04, enzalutamide, The serum concentration of Leflunomide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Bosutinib is combined with Leflunomide.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Leflunomide is combined with Teriflunomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Leflunomide.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Leflunomide.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Leflunomide.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be decreased when it is combined with Leflunomide.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Leflunomide.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Leflunomide.]
[N03AX22, perampanel, The serum concentration of Perampanel can be decreased when it is combined with Leflunomide.]
[L04AA29, tofacitinib, The risk or severity of adverse effects can be increased when Tofacitinib is combined with Leflunomide.]
[N02CC03, zolmitriptan, The serum concentration of Zolmitriptan can be decreased when it is combined with Leflunomide.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Leflunomide.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Leflunomide.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Ponatinib is combined with Leflunomide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Leflunomide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Leflunomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Leflunomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Leflunomide.]
[J01MA15, gemifloxacin, The metabolism of Leflunomide can be decreased when combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Leflunomide can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The metabolism of Leflunomide can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Leflunomide can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be decreased when it is combined with Leflunomide.]
