[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Everolimus.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Everolimus.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Everolimus.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Everolimus.]
[L04AA27, fingolimod, Everolimus may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Everolimus.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Everolimus.]
[M04AB02, sulfinpyrazone, The metabolism of Everolimus can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Everolimus.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Everolimus.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Everolimus.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Everolimus.]
[L02BA01, tamoxifen, The serum concentration of Everolimus can be increased when it is combined with Tamoxifen.]
[L01CB02, teniposide, The metabolism of Everolimus can be decreased when combined with Teniposide.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Everolimus.]
[G03BA03, testosterone, The metabolism of Everolimus can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Everolimus.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Everolimus can be decreased when combined with Tetracycline.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Everolimus.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Everolimus.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Everolimus.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Everolimus.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Everolimus is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Everolimus is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Everolimus.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be decreased when combined with Everolimus.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Everolimus.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Everolimus.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Everolimus.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Everolimus.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Everolimus.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Everolimus.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Everolimus.]
[N06AX05, trazodone, The serum concentration of Everolimus can be decreased when it is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Everolimus.]
[S01BA05, triamcinolone, Everolimus may decrease the excretion rate of Triamcinolone which could result in a higher serum level.]
[N05CD05, triazolam, The serum concentration of Triazolam can be increased when it is combined with Everolimus.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Everolimus.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Everolimus.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Everolimus is combined with Fluclorolone.]
[R03BA07, mometasone, The metabolism of Everolimus can be increased when combined with Mometasone.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Everolimus.]
[J01FA08, troleandomycin, The metabolism of Everolimus can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Everolimus.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Everolimus.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Everolimus is combined with Belimumab.]
[L01EX04, vandetanib, The serum concentration of Everolimus can be increased when it is combined with Vandetanib.]
[A10BH05, linagliptin, The metabolism of Everolimus can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Everolimus can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The serum concentration of Telaprevir can be increased when it is combined with Everolimus.]
[J05AG05, rilpivirine, The metabolism of Everolimus can be decreased when combined with Rilpivirine.]
