[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Teriflunomide.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Teriflunomide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Teriflunomide.]
[L04AA27, fingolimod, Teriflunomide may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Teriflunomide.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Teriflunomide.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Teriflunomide.]
[N06DA01, tacrine, The serum concentration of Tacrine can be decreased when it is combined with Teriflunomide.]
[L02BA01, tamoxifen, The serum concentration of Tamoxifen can be decreased when it is combined with Teriflunomide.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Teriflunomide.]
[G03BA03, testosterone, Teriflunomide may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, The excretion of Tetracycline can be decreased when combined with Teriflunomide.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be decreased when combined with Teriflunomide.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Teriflunomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be decreased when it is combined with Teriflunomide.]
[R03DA04, theophylline, The serum concentration of Theophylline can be decreased when it is combined with Teriflunomide.]
[P02CA02, thiabendazole, The serum concentration of Thiabendazole can be decreased when it is combined with Teriflunomide.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Teriflunomide.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Teriflunomide.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Teriflunomide.]
[N05AF04, thiothixene, The serum concentration of Thiothixene can be decreased when it is combined with Teriflunomide.]
[V04CA01, tolbutamide, The serum concentration of Tolbutamide can be increased when it is combined with Teriflunomide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Teriflunomide.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Teriflunomide.]
[C03DB02, triamterene, The serum concentration of Triamterene can be decreased when it is combined with Teriflunomide.]
[N05AB06, trifluoperazine, The serum concentration of Trifluoperazine can be decreased when it is combined with Teriflunomide.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Teriflunomide.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Teriflunomide.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Teriflunomide.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Teriflunomide.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Teriflunomide.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J05AG05, rilpivirine, Rilpivirine may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Teriflunomide.]
[B01AF01, rivaroxaban, Teriflunomide may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The serum concentration of Verapamil can be decreased when it is combined with Teriflunomide.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Teriflunomide.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Teriflunomide.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Teriflunomide.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be decreased when used in combination with Teriflunomide.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Teriflunomide.]
[L01EC01, vemurafenib, Teriflunomide may decrease the excretion rate of Vemurafenib which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Brentuximab vedotin is combined with Teriflunomide.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Teriflunomide.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Ruxolitinib is combined with Teriflunomide.]
[J01DH04, doripenem, The excretion of Doripenem can be decreased when combined with Teriflunomide.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Teriflunomide.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Teriflunomide.]
[L01XJ01, vismodegib, Vismodegib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L01EK01, axitinib, The serum concentration of Axitinib can be decreased when it is combined with Teriflunomide.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Teriflunomide.]
[L04AX01, azathioprine, The serum concentration of Azathioprine can be decreased when it is combined with Teriflunomide.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Teriflunomide.]
[G04BE10, avanafil, Avanafil may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Teriflunomide.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Teriflunomide.]
[A08AA11, lorcaserin, The serum concentration of Lorcaserin can be decreased when it is combined with Teriflunomide.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Carfilzomib.]
[V03AX03, cobicistat, Cobicistat may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L02BB04, enzalutamide, The metabolism of Enzalutamide can be decreased when combined with Teriflunomide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Bosutinib is combined with Teriflunomide.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Teriflunomide.]
[L01EX05, regorafenib, Regorafenib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J05AE04, nelfinavir, Nelfinavir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be decreased when it is combined with Teriflunomide.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be decreased when it is combined with Teriflunomide.]
[N06DA02, donepezil, Teriflunomide may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX22, perampanel, The serum concentration of Perampanel can be decreased when it is combined with Teriflunomide.]
[L04AA29, tofacitinib, Teriflunomide may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The serum concentration of Zolmitriptan can be decreased when it is combined with Teriflunomide.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Teriflunomide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Teriflunomide.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be decreased when it is combined with Teriflunomide.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, Teriflunomide may decrease the excretion rate of Tegaserod which could result in a higher serum level.]
[R02AD01, benzocaine, The serum concentration of Benzocaine can be decreased when it is combined with Teriflunomide.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Teriflunomide.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Teriflunomide.]
[C10AC04, colesevelam, Colesevelam may increase the excretion rate of Teriflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Teriflunomide.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be decreased when combined with Teriflunomide.]
[P03AX06, benzyl alcohol, The serum concentration of Benzyl alcohol can be decreased when it is combined with Teriflunomide.]
[L01EB03, afatinib, Teriflunomide may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Teriflunomide.]
[J05AJ03, dolutegravir, Teriflunomide may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Teriflunomide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Teriflunomide.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Teriflunomide.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J05AP08, sofosbuvir, Teriflunomide may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The serum concentration of Dapagliflozin can be decreased when it is combined with Teriflunomide.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be decreased when it is combined with Teriflunomide.]
[L04AA32, apremilast, The serum concentration of Apremilast can be decreased when it is combined with Teriflunomide.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Teriflunomide.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be decreased when it is combined with Teriflunomide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Siltuximab.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be decreased when used in combination with Teriflunomide.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Teriflunomide.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Idelalisib.]
[N07XX08, tafamidis, The serum concentration of Teriflunomide can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Teriflunomide.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Peginterferon beta-1a.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Teriflunomide.]
[L04AX05, pirfenidone, The serum concentration of Pirfenidone can be decreased when it is combined with Teriflunomide.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Teriflunomide.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Olaparib.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Teriflunomide.]
[N06AX11, mirtazapine, The serum concentration of Mirtazapine can be decreased when it is combined with Teriflunomide.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Palbociclib.]
[L01EX08, lenvatinib, Teriflunomide may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Teriflunomide.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[N02BE01, acetaminophen, The serum concentration of Acetaminophen can be decreased when it is combined with Teriflunomide.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Teriflunomide.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Teriflunomide.]
[J05AP06, asunaprevir, The excretion of Asunaprevir can be decreased when combined with Teriflunomide.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Teriflunomide.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Teriflunomide.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Teriflunomide.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Teriflunomide.]
[J02AC05, isavuconazole, Isavuconazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L01EB04, osimertinib, Teriflunomide may decrease the excretion rate of Osimertinib which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Teriflunomide.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Teriflunomide.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ixekizumab.]
[L01XX52, venetoclax, Teriflunomide may decrease the excretion rate of Venetoclax which could result in a higher serum level.]
[N05BA08, bromazepam, The serum concentration of Bromazepam can be decreased when it is combined with Teriflunomide.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Teriflunomide.]
[N01BB01, bupivacaine, The serum concentration of Levobupivacaine can be decreased when it is combined with Teriflunomide.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Teriflunomide.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Teriflunomide.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Teriflunomide.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[S01GX07, azelastine, The serum concentration of Azelastine can be decreased when it is combined with Teriflunomide.]
[L01XK03, rucaparib, The serum concentration of Rucaparib can be decreased when it is combined with Teriflunomide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Brodalumab.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be decreased when it is combined with Teriflunomide.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Ocrelizumab.]
[N06BC01, caffeine, The serum concentration of Caffeine can be decreased when it is combined with Teriflunomide.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Teriflunomide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Teriflunomide.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Teriflunomide.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Teriflunomide.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Teriflunomide which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Sarilumab.]
[J01MA23, delafloxacin, Teriflunomide may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Teriflunomide.]
[L01XX59, enasidenib, The serum concentration of Enasidenib can be decreased when it is combined with Teriflunomide.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Teriflunomide.]
