[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Apremilast.]
[J01GA01, streptomycin, Apremilast may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Apremilast.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Apremilast.]
[L04AA27, fingolimod, Apremilast may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01CG01, sulbactam, Apremilast may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Apremilast.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Apremilast.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be increased when combined with Apremilast.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Apremilast.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Apremilast.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Apremilast.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Apremilast.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Apremilast may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Apremilast.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be increased when combined with Apremilast.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be increased when combined with Apremilast.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Apremilast.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be increased when combined with Apremilast.]
[R03DA07, theobromine, The metabolism of Theobromine can be increased when combined with Apremilast.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Apremilast.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Apremilast.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Apremilast is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Apremilast.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Apremilast.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Apremilast.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be increased when combined with Apremilast.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Apremilast.]
[C01BB04, aprindine, The metabolism of Aprindine can be increased when combined with Apremilast.]
[G04BE06, moxisylyte, Apremilast may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Apremilast may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be increased when combined with Apremilast.]
[S01ED01, timolol, The metabolism of Timolol can be increased when combined with Apremilast.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[S01AA12, tobramycin, Apremilast may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be increased when combined with Apremilast.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be increased when combined with Apremilast.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Apremilast.]
[N06AF04, tranylcypromine, The metabolism of Apremilast can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Apremilast.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Apremilast.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Apremilast.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Apremilast.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Apremilast.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Apremilast may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Apremilast.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Apremilast.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Apremilast is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Apremilast.]
[A03AA05, trimebutine, Apremilast may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Apremilast.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Apremilast.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Apremilast.]
[J01FA08, troleandomycin, The metabolism of Apremilast can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Apremilast.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Apremilast.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Apremilast is combined with Belimumab.]
[L01FX04, ipilimumab, Apremilast may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Apremilast.]
[R02AA14, oxyquinoline, Apremilast may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Apremilast can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Apremilast.]
[J05AP03, boceprevir, The metabolism of Apremilast can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Apremilast can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be increased when combined with Apremilast.]
[S01AA28, vancomycin, Apremilast may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Apremilast is combined with Belatacept.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Apremilast.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Apremilast.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Apremilast.]
[N06AX09, viloxazine, The metabolism of Apremilast can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Apremilast.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Apremilast.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Apremilast.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Apremilast.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be increased when combined with Apremilast.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Apremilast.]
[J05AE02, indinavir, The metabolism of Apremilast can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Apremilast can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Apremilast.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[B06AC02, icatibant, Apremilast may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Apremilast.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be increased when combined with Apremilast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be increased when combined with Apremilast.]
[J01MA13, trovafloxacin, The metabolism of Apremilast can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Apremilast.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Apremilast.]
[V03AC02, deferiprone, Apremilast may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Apremilast.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be increased when combined with Apremilast.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Apremilast.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be increased when combined with Apremilast.]
[J01DH04, doripenem, Apremilast may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be increased when combined with Apremilast.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Apremilast.]
[L01FA01, rituximab, The therapeutic efficacy of Apremilast can be decreased when used in combination with Rituximab.]
[J02AC03, voriconazole, The metabolism of Apremilast can be decreased when combined with Voriconazole.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be increased when combined with Apremilast.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Apremilast.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be increased when combined with Apremilast.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Apremilast is combined with Prednylidene.]
[B03XA04, peginesatide, Apremilast may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Apremilast.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be increased when combined with Apremilast.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Apremilast.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Apremilast.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Apremilast.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Apremilast.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be increased when combined with Apremilast.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be increased when combined with Apremilast.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Apremilast is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Apremilast can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Apremilast can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Apremilast can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Apremilast.]
[L04AA31, teriflunomide, The serum concentration of Apremilast can be decreased when it is combined with Teriflunomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Apremilast is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Apremilast.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Apremilast.]
[N05CA04, barbital, The metabolism of Barbital can be increased when combined with Apremilast.]
[D02BA02, octinoxate, Apremilast may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Apremilast can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be increased when combined with Apremilast.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be increased when combined with Apremilast.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be increased when combined with Apremilast.]
[N06DA02, donepezil, The metabolism of Donepezil can be increased when combined with Apremilast.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Apremilast.]
[L04AA29, tofacitinib, The therapeutic efficacy of Apremilast can be decreased when used in combination with Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be increased when combined with Apremilast.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be increased when combined with Apremilast.]
[V09IX04, fluorodeoxyglucose F18, Apremilast may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be increased when combined with Apremilast.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be increased when combined with Apremilast.]
[V08CA11, gadofosveset, Apremilast may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Apremilast.]
[B01AF02, apixaban, The metabolism of Apixaban can be increased when combined with Apremilast.]
[A16AX08, teduglutide, Apremilast may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Apremilast.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be increased when combined with Apremilast.]
[A16AX09, glycerol phenylbutyrate, Apremilast may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Apremilast.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be increased when combined with Apremilast.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Apremilast which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Apremilast is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Apremilast can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Apremilast can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be increased when combined with Apremilast.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be increased when combined with Apremilast.]
[L03AA12, ancestim, Apremilast may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be increased when combined with Apremilast.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Apremilast.]
[N04AC01, benztropine, The metabolism of Benzatropine can be increased when combined with Apremilast.]
[L01EC02, dabrafenib, The serum concentration of Apremilast can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L01EE01, trametinib, Apremilast may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be increased when combined with Apremilast.]
[V09AX05, florbetapir F-18, Apremilast may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Apremilast.]
[C08EA02, bepridil, The metabolism of Bepridil can be increased when combined with Apremilast.]
[C02KX05, riociguat, Apremilast may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Apremilast may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Apremilast may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be increased when combined with Apremilast.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be increased when combined with Apremilast.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Apremilast can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Apremilast may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be increased when combined with Apremilast.]
[C01CA27, droxidopa, Apremilast may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be increased when combined with Apremilast.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Apremilast.]
[A16AA07, metreleptin, The metabolism of Apremilast can be increased when combined with Metreleptin.]
