[S02DA03, antipyrine, The metabolism of Ozanimod can be decreased when combined with Antipyrine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Ozanimod.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Ozanimod.]
[L04AA27, fingolimod, Ozanimod may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Ozanimod can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Ozanimod.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Ozanimod.]
[L02BA01, tamoxifen, The metabolism of Ozanimod can be decreased when combined with Tamoxifen.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Ozanimod.]
[N04BC07, apomorphine, The metabolism of Ozanimod can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Ozanimod.]
[R03DA04, theophylline, The metabolism of Ozanimod can be decreased when combined with Theophylline.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Ozanimod.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Ozanimod.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Ozanimod.]
[B01AC05, ticlopidine, The metabolism of Ozanimod can be decreased when combined with Ticlopidine.]
[V04CA01, tolbutamide, The metabolism of Ozanimod can be decreased when combined with Tolbutamide.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Ozanimod.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Ozanimod.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Ozanimod.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Ozanimod is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Ozanimod.]
[N03AC02, trimethadione, The metabolism of Ozanimod can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Ozanimod can be decreased when combined with Trimethoprim.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Ozanimod.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Ozanimod.]
[L01EX04, vandetanib, Vandetanib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Ozanimod can be decreased when combined with Abiraterone.]
[J05AG05, rilpivirine, Rilpivirine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Ozanimod.]
[C08DA01, verapamil, The metabolism of Ozanimod can be decreased when combined with Verapamil.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Ozanimod.]
