[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Certolizumab pegol.]
[J01GA01, streptomycin, Certolizumab pegol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Certolizumab pegol.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Certolizumab pegol.]
[M04AX02, pegloticase, The therapeutic efficacy of Certolizumab pegol can be decreased when used in combination with PEG-uricase.]
[L04AA27, fingolimod, Certolizumab pegol may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01CG01, sulbactam, Certolizumab pegol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Certolizumab pegol.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Certolizumab pegol.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be increased when combined with Certolizumab pegol.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Certolizumab pegol.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Certolizumab pegol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Certolizumab pegol.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Certolizumab pegol.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Dabigatran etexilate may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Certolizumab pegol.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be increased when combined with Certolizumab pegol.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be increased when combined with Certolizumab pegol.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Certolizumab pegol.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be increased when combined with Certolizumab pegol.]
[R03DA07, theobromine, The metabolism of Theobromine can be increased when combined with Certolizumab pegol.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Certolizumab pegol.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Certolizumab pegol.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Certolizumab pegol.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Certolizumab pegol.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Certolizumab pegol.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Certolizumab pegol.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be increased when combined with Certolizumab pegol.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Certolizumab pegol.]
[C01BB04, aprindine, The metabolism of Aprindine can be increased when combined with Certolizumab pegol.]
[G04BE06, moxisylyte, Certolizumab pegol may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Certolizumab pegol may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be increased when combined with Certolizumab pegol.]
[S01ED01, timolol, The metabolism of Timolol can be increased when combined with Certolizumab pegol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[S01AA12, tobramycin, Certolizumab pegol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be increased when combined with Certolizumab pegol.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be increased when combined with Certolizumab pegol.]
