[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Secukinumab.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Secukinumab.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Secukinumab.]
[L04AA27, fingolimod, Secukinumab may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Secukinumab.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Secukinumab.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be increased when combined with Secukinumab.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Secukinumab.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Secukinumab.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Secukinumab.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Secukinumab.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Secukinumab.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be increased when combined with Secukinumab.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be increased when combined with Secukinumab.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Secukinumab.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be increased when combined with Secukinumab.]
[R03DA07, theobromine, The metabolism of Theobromine can be increased when combined with Secukinumab.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Secukinumab.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Secukinumab.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Secukinumab.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Secukinumab.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Secukinumab.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Secukinumab.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be increased when combined with Secukinumab.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Secukinumab.]
[C01BB04, aprindine, The metabolism of Aprindine can be increased when combined with Secukinumab.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be increased when combined with Secukinumab.]
[S01ED01, timolol, The metabolism of Timolol can be increased when combined with Secukinumab.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be increased when combined with Secukinumab.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be increased when combined with Secukinumab.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Secukinumab.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Secukinumab.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Secukinumab.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Secukinumab.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Secukinumab.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Secukinumab.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Secukinumab.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Secukinumab.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Secukinumab is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Secukinumab.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Secukinumab.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Secukinumab.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Secukinumab.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Secukinumab.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Secukinumab.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Secukinumab.]
[L01FX04, ipilimumab, The risk or severity of adverse effects can be increased when Ipilimumab is combined with Secukinumab.]
