[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Siltuximab.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Siltuximab.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Siltuximab.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Siltuximab.]
[L04AA27, fingolimod, Siltuximab may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Siltuximab.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Siltuximab.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be increased when combined with Siltuximab.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Siltuximab.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Siltuximab.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Siltuximab.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Siltuximab.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Siltuximab.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be increased when combined with Siltuximab.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Siltuximab is combined with Tetracaine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Siltuximab.]
[N04BC07, apomorphine, The metabolism of Apomorphine can be increased when combined with Siltuximab.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be increased when combined with Siltuximab.]
[R03DA07, theobromine, The metabolism of Theobromine can be increased when combined with Siltuximab.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Siltuximab.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Siltuximab.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Siltuximab.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Siltuximab.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Siltuximab.]
[N05CA19, thiopental, The metabolism of Thiopental can be increased when combined with Siltuximab.]
[N05AC02, thioridazine, The metabolism of Thioridazine can be increased when combined with Siltuximab.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be increased when combined with Siltuximab.]
[C01BB04, aprindine, The metabolism of Aprindine can be increased when combined with Siltuximab.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be increased when combined with Siltuximab.]
[S01ED01, timolol, The metabolism of Timolol can be increased when combined with Siltuximab.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be increased when combined with Siltuximab.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be increased when combined with Siltuximab.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Siltuximab.]
[N06AX05, trazodone, The metabolism of Trazodone can be increased when combined with Siltuximab.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be increased when combined with Siltuximab.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be increased when combined with Siltuximab.]
[C03DB02, triamterene, The metabolism of Triamterene can be increased when combined with Siltuximab.]
[N05CD05, triazolam, The metabolism of Triazolam can be increased when combined with Siltuximab.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be increased when combined with Siltuximab.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Siltuximab.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Siltuximab is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Siltuximab.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be increased when combined with Siltuximab.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be increased when combined with Siltuximab.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be increased when combined with Siltuximab.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be increased when combined with Siltuximab.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Siltuximab.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Siltuximab.]
[L01FX04, ipilimumab, The risk or severity of adverse effects can be increased when Ipilimumab is combined with Siltuximab.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Siltuximab.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Siltuximab.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be increased when combined with Siltuximab.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be increased when combined with Siltuximab.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Siltuximab.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Siltuximab.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be increased when combined with Siltuximab.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be increased when combined with Siltuximab.]
[C08DA01, verapamil, The metabolism of Verapamil can be increased when combined with Siltuximab.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Siltuximab.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Siltuximab.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Siltuximab.]
[B01AA03, warfarin, The metabolism of Warfarin can be increased when combined with Siltuximab.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be increased when combined with Siltuximab.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Siltuximab.]
[J05AE02, indinavir, The metabolism of Indinavir can be increased when combined with Siltuximab.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Siltuximab.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Siltuximab.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Siltuximab.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be increased when combined with Siltuximab.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be increased when combined with Siltuximab.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Siltuximab.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Siltuximab.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Siltuximab.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be increased when combined with Siltuximab.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Siltuximab.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be increased when combined with Siltuximab.]
[C07AB03, atenolol, The metabolism of Atenolol can be increased when combined with Siltuximab.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Siltuximab.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Siltuximab.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be increased when combined with Siltuximab.]
