[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Sarilumab.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Sarilumab.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Sarilumab.]
[L04AA27, fingolimod, Sarilumab may increase the immunosuppressive activities of Fingolimod.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Sarilumab.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Sarilumab.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Sarilumab.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Sarilumab.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Sarilumab.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Sarilumab.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Sarilumab.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Sarilumab.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Sarilumab.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Sarilumab.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Sarilumab.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Sarilumab.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Sarilumab.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Sarilumab.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Sarilumab is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Sarilumab.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Sarilumab.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Belimumab is combined with Sarilumab.]
[L01FX04, ipilimumab, The risk or severity of adverse effects can be increased when Ipilimumab is combined with Sarilumab.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Sarilumab.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be increased when combined with Sarilumab.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Sarilumab.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Belatacept is combined with Sarilumab.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be increased when combined with Sarilumab.]
[L01CA02, vincristine, The metabolism of Vincristine can be increased when combined with Sarilumab.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Sarilumab.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Sarilumab.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Sarilumab.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be increased when combined with Sarilumab.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be increased when combined with Sarilumab.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be increased when combined with Sarilumab.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be increased when combined with Sarilumab.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be increased when combined with Sarilumab.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Sarilumab.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Sarilumab.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Sarilumab.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Sarilumab.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Sarilumab.]
[L01EK01, axitinib, The metabolism of Axitinib can be increased when combined with Sarilumab.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Sarilumab is combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Sarilumab.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Sarilumab.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Sarilumab.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Sarilumab.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Sarilumab.]
[L01FD02, pertuzumab, The risk or severity of adverse effects can be increased when Pertuzumab is combined with Sarilumab.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Carfilzomib is combined with Sarilumab.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Sarilumab.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be increased when combined with Sarilumab.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Teriflunomide is combined with Sarilumab.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Abetimus is combined with Sarilumab.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Aldosterone is combined with Sarilumab.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be increased when combined with Sarilumab.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Bendamustine is combined with Sarilumab.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Sarilumab.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Sarilumab.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be increased when combined with Sarilumab.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Sarilumab.]
[J06BC02, raxibacumab, The risk or severity of adverse effects can be increased when Raxibacumab is combined with Sarilumab.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be increased when combined with Sarilumab.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Dimethyl fumarate is combined with Sarilumab.]
[L04AA18, everolimus, The metabolism of Everolimus can be increased when combined with Sarilumab.]
[L01EC02, dabrafenib, The metabolism of Dabrafenib can be increased when combined with Sarilumab.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be increased when combined with Sarilumab.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Sarilumab.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Sarilumab.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be increased when combined with Sarilumab.]
[L04AA32, apremilast, The therapeutic efficacy of Apremilast can be decreased when used in combination with Sarilumab.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Sarilumab.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Sarilumab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be increased when combined with Sarilumab.]
[L01FG02, ramucirumab, The risk or severity of adverse effects can be increased when Ramucirumab is combined with Sarilumab.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be increased when combined with Sarilumab.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Sarilumab.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Sarilumab.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Sarilumab.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Sarilumab.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Peginterferon beta-1a is combined with Sarilumab.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be increased when combined with Sarilumab.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Sarilumab.]
[L01FF02, pembrolizumab, The risk or severity of adverse effects can be increased when Pembrolizumab is combined with Sarilumab.]
[A10BJ05, dulaglutide, The risk or severity of adverse effects can be increased when Dulaglutide is combined with Sarilumab.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Sarilumab.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Sarilumab.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be increased when combined with Sarilumab.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Sarilumab.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Sarilumab.]
[L01FF01, nivolumab, The risk or severity of adverse effects can be increased when Nivolumab is combined with Sarilumab.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Sarilumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Sarilumab.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be increased when combined with Sarilumab.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Sarilumab.]
[C10AX14, alirocumab, The risk or severity of adverse effects can be increased when Alirocumab is combined with Sarilumab.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Sarilumab.]
[C10AX13, evolocumab, The risk or severity of adverse effects can be increased when Evolocumab is combined with Sarilumab.]
[V03AB37, idarucizumab, The risk or severity of adverse effects can be increased when Idarucizumab is combined with Sarilumab.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be increased when combined with Sarilumab.]
[A16AB13, asfotase alfa, The risk or severity of adverse effects can be increased when Asfotase alfa is combined with Sarilumab.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Sarilumab.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be increased when combined with Sarilumab.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be increased when combined with Sarilumab.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be increased when combined with Sarilumab.]
[L01FC01, daratumumab, The risk or severity of adverse effects can be increased when Daratumumab is combined with Sarilumab.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be increased when combined with Sarilumab.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Sarilumab.]
[L01FE03, necitumumab, The risk or severity of adverse effects can be increased when Necitumumab is combined with Sarilumab.]
[L01FX08, elotuzumab, The risk or severity of adverse effects can be increased when Elotuzumab is combined with Sarilumab.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Sarilumab.]
[J06BB02, tetanus immune globulin, The risk or severity of adverse effects can be increased when Tetanus immune globulin, human is combined with Sarilumab.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Sarilumab.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ixekizumab is combined with Sarilumab.]
[R03DX08, reslizumab, The risk or severity of adverse effects can be increased when Reslizumab is combined with Sarilumab.]
[J06BC04, obiltoxaximab, The risk or severity of adverse effects can be increased when Obiltoxaximab is combined with Sarilumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be increased when combined with Sarilumab.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Sarilumab.]
[L01FF05, atezolizumab, The risk or severity of adverse effects can be increased when Atezolizumab is combined with Sarilumab.]
[L01AB01, busulfan, The metabolism of Busulfan can be increased when combined with Sarilumab.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Sarilumab.]
[J06BC03, bezlotoxumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Bezlotoxumab.]
[L01FX10, olaratumab, The risk or severity of adverse effects can be increased when Olaratumab is combined with Sarilumab.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be increased when combined with Sarilumab.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be increased when combined with Sarilumab.]
[L01FF04, avelumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Avelumab.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ocrelizumab.]
[D11AH05, dupilumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Dupilumab.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Sarilumab.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Sarilumab.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Sarilumab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be increased when combined with Sarilumab.]
[L01FF03, durvalumab, The risk or severity of adverse effects can be increased when Durvalumab is combined with Sarilumab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be increased when combined with Sarilumab.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Antilymphocyte immunoglobulin (horse) is combined with Sarilumab.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Sarilumab.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be increased when combined with Sarilumab.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Sarilumab.]
[J06BD01, palivizumab, The risk or severity of adverse effects can be increased when Palivizumab is combined with Sarilumab.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of adverse effects can be increased when Inotuzumab ozogamicin is combined with Sarilumab.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Sarilumab.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Sarilumab.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Sarilumab.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Sarilumab.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Sarilumab.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Sarilumab.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Sarilumab.]
[R03DX10, benralizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Benralizumab.]
[B02BX06, emicizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Emicizumab.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be increased when combined with Sarilumab.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Sarilumab.]
[J05AX23, ibalizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ibalizumab.]
[M05BX05, burosumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Burosumab.]
[N02CD01, erenumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Erenumab.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Sarilumab is combined with Baricitinib.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be increased when combined with Sarilumab.]
[L04AC17, tildrakizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tildrakizumab.]
[L01FX09, mogamulizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Mogamulizumab.]
[B06AC05, lanadelumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Lanadelumab.]
[N02CD03, fremanezumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Fremanezumab.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be increased when combined with Sarilumab.]
[L01FF06, cemiplimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Cemiplimab.]
