[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Azathioprine.]
[J01GA01, streptomycin, Azathioprine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Azathioprine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Azathioprine.]
[L04AA27, fingolimod, Azathioprine may increase the immunosuppressive activities of Fingolimod.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01CG01, sulbactam, Azathioprine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Azathioprine.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Mercaptopurine.]
[N06DA01, tacrine, The metabolism of Azathioprine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Azathioprine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Azathioprine.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Azathioprine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A04AD10, dronabinol, The metabolism of Azathioprine can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Azathioprine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Azathioprine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Azathioprine is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Azathioprine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Azathioprine.]
[G04BE06, moxisylyte, Azathioprine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, Azathioprine may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Azathioprine can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA12, tobramycin, Azathioprine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V04CA01, tolbutamide, Azathioprine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02AX02, tramadol, Tramadol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Azathioprine.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Azathioprine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Triazolam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Azathioprine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Azathioprine can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Azathioprine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Azathioprine.]
[A03AA05, trimebutine, Azathioprine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, Trimethoprim may increase the myelosuppressive activities of Azathioprine.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be decreased when used in combination with Azathioprine.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Azathioprine.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Belimumab.]
[L01FX04, ipilimumab, Azathioprine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Azathioprine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Azathioprine can be increased when it is combined with Abiraterone.]
[S01AA28, vancomycin, Azathioprine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Azathioprine is combined with Belatacept.]
[N03AX21, ezogabine, Azathioprine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Azathioprine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Azathioprine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Azathioprine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Azathioprine.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Azathioprine.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Azathioprine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be decreased when used in combination with Azathioprine.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Azathioprine.]
[L01EC01, vemurafenib, The serum concentration of Azathioprine can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Azathioprine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Azathioprine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[A02BC04, rabeprazole, Azathioprine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[J01MA13, trovafloxacin, The metabolism of Azathioprine can be decreased when combined with Trovafloxacin.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Azathioprine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Azathioprine.]
[N02BA01, aspirin, The metabolism of Azathioprine can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ruxolitinib.]
[G04BD07, tolterodine, Azathioprine may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Azathioprine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Azathioprine.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Azathioprine.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be decreased when used in combination with Azathioprine.]
[M01CB03, auranofin, Azathioprine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Azathioprine.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Azathioprine is combined with Prednylidene.]
