[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Thalidomide.]
[G03XB02, ulipristal, Ulipristal may increase the thrombogenic activities of Thalidomide.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Thalidomide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Thalidomide.]
[L04AA27, fingolimod, Thalidomide may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[J01EC02, sulfadiazine, The metabolism of Thalidomide can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Thalidomide can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Thalidomide.]
[J01EC03, sulfamoxole, The metabolism of Thalidomide can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Thalidomide can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Thalidomide can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Thalidomide can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, Sulpiride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Thalidomide.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Thalidomide.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Thalidomide.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Thalidomide.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding can be increased when Dabigatran etexilate is combined with Thalidomide.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Thalidomide.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Thalidomide.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Thalidomide is combined with Antilymphocyte immunoglobulin (horse).]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Thalidomide is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thalidomide is combined with Thiotepa.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Thalidomide.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Ticlopidine is combined with Thalidomide.]
[N02AX01, tilidine, Tilidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Timolol is combined with Thalidomide.]
[A10BB05, tolazamide, The metabolism of Thalidomide can be decreased when combined with Tolazamide.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Tolazoline is combined with Thalidomide.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Thalidomide.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
