[S02DA03, antipyrine, The metabolism of Pirfenidone can be decreased when combined with Antipyrine.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Pirfenidone.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Pirfenidone.]
[L04AA27, fingolimod, Pirfenidone may increase the immunosuppressive activities of Fingolimod.]
[J01EC02, sulfadiazine, The metabolism of Pirfenidone can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Pirfenidone can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Pirfenidone.]
[J01EC03, sulfamoxole, The metabolism of Pirfenidone can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Pirfenidone can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Pirfenidone can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Pirfenidone can be decreased when combined with Sulfisoxazole.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Pirfenidone.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Pirfenidone.]
[N06DA01, tacrine, The metabolism of Pirfenidone can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Pirfenidone.]
[L01CB02, teniposide, The risk or severity of adverse effects can be increased when Teniposide is combined with Pirfenidone.]
[G03BA03, testosterone, The metabolism of Pirfenidone can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Pirfenidone can be decreased when combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Tetracaine.]
[A04AD10, dronabinol, The metabolism of Pirfenidone can be decreased when combined with Dronabinol.]
[L04AX02, thalidomide, The risk or severity of adverse effects can be increased when Thalidomide is combined with Pirfenidone.]
[R03DA07, theobromine, The metabolism of Pirfenidone can be decreased when combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Pirfenidone.]
[P02CA02, thiabendazole, The metabolism of Pirfenidone can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Eribulin.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Pirfenidone.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Pirfenidone.]
[N05CA19, thiopental, The metabolism of Pirfenidone can be decreased when combined with Thiopental.]
[N05AC02, thioridazine, The metabolism of Pirfenidone can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Pirfenidone can be decreased when combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Pirfenidone can be decreased when combined with Aprindine.]
[B01AC05, ticlopidine, The metabolism of Pirfenidone can be decreased when combined with Ticlopidine.]
[S01ED01, timolol, The metabolism of Pirfenidone can be decreased when combined with Timolol.]
[A10BB05, tolazamide, The metabolism of Pirfenidone can be decreased when combined with Tolazamide.]
