[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Pomalidomide.]
[J01GA01, streptomycin, Pomalidomide may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Pomalidomide.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Pomalidomide.]
[L04AA27, fingolimod, Pomalidomide may increase the immunosuppressive activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pomalidomide.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01CG01, sulbactam, Pomalidomide may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Pomalidomide.]
[M04AB02, sulfinpyrazone, The metabolism of Pomalidomide can be increased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Pomalidomide.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Pomalidomide.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01BB02, mercaptopurine, The risk or severity of adverse effects can be increased when Mercaptopurine is combined with Pomalidomide.]
[N06DA01, tacrine, The metabolism of Pomalidomide can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The serum concentration of Pomalidomide can be increased when it is combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Pomalidomide.]
[L01CB02, teniposide, The metabolism of Pomalidomide can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Pomalidomide can be increased when it is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Pomalidomide can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Pomalidomide can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lurasidone is combined with Pomalidomide.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Pomalidomide.]
[L04AX02, thalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Pomalidomide can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Pomalidomide can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Eribulin is combined with Pomalidomide.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Pomalidomide.]
[L01AC01, thiotepa, The risk or severity of adverse effects can be increased when Thiotepa is combined with Pomalidomide.]
[L01BB03, thioguanine, The risk or severity of adverse effects can be increased when Tioguanine is combined with Pomalidomide.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Pomalidomide.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Pomalidomide.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Pomalidomide.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Pomalidomide.]
[G04BE06, moxisylyte, Pomalidomide may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Pomalidomide can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01AA12, tobramycin, Pomalidomide may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Tolperisone is combined with Pomalidomide.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Pomalidomide is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Pomalidomide.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Pomalidomide.]
[N06AX05, trazodone, The serum concentration of Pomalidomide can be decreased when it is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Pomalidomide.]
[S01BA05, triamcinolone, The metabolism of Pomalidomide can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Pomalidomide.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pomalidomide.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Pomalidomide.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Trifluperidol.]
[N05AA05, triflupromazine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Fluclorolone.]
[N04AA01, trihexyphenidyl, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Pomalidomide can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Pomalidomide.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Pomalidomide.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Pomalidomide.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Pomalidomide.]
[A03BB01, butylscopolamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Pomalidomide can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Pomalidomide.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Pomalidomide.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Pomalidomide.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Pomalidomide.]
