[P02BB01, trichlorfon, The metabolism of Succinylcholine can be decreased when combined with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Antipyrine.]
[J01GA01, streptomycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Streptomycin.]
[J01EC01, sulfamethoxazole, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Sulfamethoxazole.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Sulindac.]
[N05AL01, sulpiride, The metabolism of Succinylcholine can be decreased when combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Succinylcholine can be decreased when combined with Tacrine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Temazepam.]
[L01CB02, teniposide, Succinylcholine may increase the neurotoxic activities of Teniposide.]
[R03CC03, terbutaline, The serum concentration of Succinylcholine can be increased when it is combined with Terbutaline.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tetracaine.]
[S03AA02, tetracycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Apomorphine.]
[L04AX02, thalidomide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Succinylcholine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiothixene.]
[B02AB01, aprotinin, The metabolism of Succinylcholine can be decreased when combined with Aprotinin.]
[G04BE06, moxisylyte, The serum concentration of Moxisylyte can be increased when it is combined with Succinylcholine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Timolol.]
[P01AB02, tinidazole, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Tinidazole.]
[S01AA12, tobramycin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Tobramycin.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Succinylcholine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tranylcypromine.]
