[P02BB01, trichlorfon, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Metrifonate.]
[J01GA01, streptomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Streptomycin.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CA16, sulbenicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Sulbenicillin.]
[N05AL01, sulpiride, Rocuronium may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06DA01, tacrine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Tacrine.]
[J01CA15, talampicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Talampicillin.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC03, terbutaline, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Terbutaline.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S03AA02, tetracycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Tetracycline.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L04AX02, thalidomide, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Thiamine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L01AC01, thiotepa, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[B02AB01, aprotinin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Aprotinin.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CA13, ticarcillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Ticarcillin.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Tilidine.]
[P01AB02, tinidazole, The therapeutic efficacy of Rocuronium can be increased when used in combination with Tinidazole.]
[S01AA12, tobramycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Tobramycin.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Rocuronium is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Trazodone.]
[S01BA05, triamcinolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Triamcinolone.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Rocuronium.]
[A03AB12, mepenzolate, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[D07AC02, fluclorolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluclorolone.]
[N04AA01, trihexyphenidyl, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Mometasone.]
[A03AA05, trimebutine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Rocuronium is combined with Trimethaphan.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03BB01, butylscopolamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Rocuronium is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AA05, tyrothricin, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Tyrothricin.]
[A10BH05, linagliptin, The risk or severity of adverse effects can be increased when Linagliptin is combined with Rocuronium.]
[S01AA28, vancomycin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Vancomycin.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03AC18, indacaterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Indacaterol.]
[C08DA01, verapamil, Verapamil may increase the neuromuscular blocking activities of Rocuronium.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N01AX15, xenon, Xenon may increase the neuromuscular blocking activities of Rocuronium.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J05AE02, indinavir, The risk or severity of adverse effects can be increased when Indinavir is combined with Rocuronium.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Ziprasidone.]
[G04BD07, tolterodine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01FA01, atropine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[H02AB11, prednylidene, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Prednylidene.]
[L04AX01, azathioprine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Azathioprine.]
[J01CA09, azlocillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Azlocillin.]
[M03BX01, baclofen, The therapeutic efficacy of Rocuronium can be increased when used in combination with Baclofen.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Rocuronium is combined with Mirabegron.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Rocuronium.]
[A02AA05, magnesium silicate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium silicate.]
