[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cyclobenzaprine.]
[M03AB01, succinylcholine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Succinylcholine.]
[N05AL01, sulpiride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sulthiame.]
[N06DA01, tacrine, The metabolism of Cyclobenzaprine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Cyclobenzaprine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Temazepam.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Cyclobenzaprine.]
[S01HA03, tetracaine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dronabinol.]
[N04BC07, apomorphine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Apomorphine.]
[L04AX02, thalidomide, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Cyclobenzaprine.]
[R03DA04, theophylline, The metabolism of Cyclobenzaprine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Cyclobenzaprine can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiethylperazine.]
[N05CA19, thiopental, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Cyclobenzaprine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tilidine.]
[M03BX04, tolperisone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome and seizure can be increased when Cyclobenzaprine is combined with Tramadol.]
[N06AF04, tranylcypromine, Cyclobenzaprine may increase the serotonergic activities of Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Cyclobenzaprine.]
[C03DB02, triamterene, The metabolism of Cyclobenzaprine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Triazolam.]
[A03AB12, mepenzolate, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trimethadione.]
[N06AA06, trimipramine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Trimipramine.]
[R06AX07, triprolidine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Triprolidine.]
[A03BB01, butylscopolamine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Cyclobenzaprine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tryptophan.]
[M03AA02, tubocurarine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Cyclobenzaprine.]
[L02BX03, abiraterone, The serum concentration of Cyclobenzaprine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Cyclobenzaprine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Cyclobenzaprine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Cyclobenzaprine can be decreased when combined with Telaprevir.]
[N03AX21, ezogabine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ezogabine.]
[C08DA01, verapamil, The metabolism of Cyclobenzaprine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Viloxazine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Cyclobenzaprine.]
[B01AA03, warfarin, The metabolism of Cyclobenzaprine can be decreased when combined with Warfarin.]
[N05AF05, zuclopenthixol, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Cyclobenzaprine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The serum concentration of Cyclobenzaprine can be increased when it is combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Cyclobenzaprine can be decreased when combined with Crizotinib.]
[J01MA13, trovafloxacin, The metabolism of Cyclobenzaprine can be decreased when combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Ziprasidone.]
