[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Antipyrine.]
[A14AA02, stanozolol, The therapeutic efficacy of Dantrolene can be increased when used in combination with Stanozolol.]
[J01GA01, streptomycin, The risk or severity of neuromuscular blockade can be increased when Streptomycin is combined with Dantrolene.]
[M03AB01, succinylcholine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Dantrolene.]
[J01EC01, sulfamethoxazole, The risk or severity of hyperkalemia can be increased when Sulfamethoxazole is combined with Dantrolene.]
[M01AB02, sulindac, The risk or severity of hyperkalemia can be increased when Sulindac is combined with Dantrolene.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Dantrolene.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hyperkalemia can be increased when Dantrolene is combined with Azapropazone.]
[L02BA01, tamoxifen, The therapeutic efficacy of Dantrolene can be decreased when used in combination with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Dantrolene.]
[G03BA03, testosterone, The therapeutic efficacy of Dantrolene can be increased when used in combination with Testosterone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Tetracaine.]
[S03AA02, tetracycline, The risk or severity of neuromuscular blockade can be increased when Tetracycline is combined with Dantrolene.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Dantrolene is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Dantrolene.]
[L04AX02, thalidomide, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Dantrolene.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Dantrolene.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Dantrolene is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Dantrolene.]
