[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sulfinpyrazone.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Sulfinpyrazone.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Streptokinase.]
[L01AD04, streptozocin, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Streptozocin.]
[M04AX02, pegloticase, The risk or severity of adverse effects can be increased when Sulfinpyrazone is combined with Pegloticase.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, The risk or severity of bleeding can be increased when Sulindac is combined with Sulfinpyrazone.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Sulfinpyrazone.]
[M01AX04, apazone, The risk or severity of bleeding can be increased when Azapropazone is combined with Sulfinpyrazone.]
[L01BB02, mercaptopurine, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Sulfinpyrazone.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Sulfinpyrazone.]
[B01AE07, dabigatran etexilate, Sulfinpyrazone may increase the anticoagulant activities of Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Sulfinpyrazone.]
[A04AD10, dronabinol, The metabolism of Dronabinol can be decreased when combined with Sulfinpyrazone.]
[L04AX02, thalidomide, The metabolism of Thalidomide can be decreased when combined with Sulfinpyrazone.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Sulfinpyrazone.]
[L01XX41, eribulin, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Eribulin.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Sulfinpyrazone.]
[L01BB03, thioguanine, The risk or severity of bleeding can be increased when Sulfinpyrazone is combined with Tioguanine.]
[B01AC05, ticlopidine, Ticlopidine may increase the antiplatelet activities of Sulfinpyrazone.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Sulfinpyrazone which could result in a higher serum level.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Sulfinpyrazone.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Sulfinpyrazone.]
[M02AA21, tolmetin, The risk or severity of bleeding can be increased when Tolmetin is combined with Sulfinpyrazone.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Sulfinpyrazone.]
[N06AF04, tranylcypromine, The risk or severity of bleeding and hemorrhage can be increased when Tranylcypromine is combined with Sulfinpyrazone.]
[C01DX11, trapidil, Sulfinpyrazone may increase the antiplatelet activities of Trapidil.]
[N06AX05, trazodone, The risk or severity of bleeding can be increased when Trazodone is combined with Sulfinpyrazone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Sulfinpyrazone.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Sulfinpyrazone can be decreased when used in combination with Trichlormethiazide.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Sulfinpyrazone.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Sulfinpyrazone.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Sulfinpyrazone.]
