[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Halothane.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Halothane.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Halothane.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Halothane.]
[J01EC02, sulfadiazine, The metabolism of Halothane can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Halothane can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Halothane can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Halothane can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Halothane can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Halothane can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Halothane can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Halothane.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Halothane.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Halothane is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Halothane.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Halothane is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Halothane.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Halothane.]
[L01CB02, teniposide, The metabolism of Halothane can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Halothane.]
[G03BA03, testosterone, The metabolism of Halothane can be decreased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Halothane is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Halothane is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Halothane.]
[L04AX02, thalidomide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Halothane.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Halothane.]
[L01AC01, thiotepa, The metabolism of Halothane can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Halothane.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Halothane is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Halothane.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Halothane is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Halothane is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Halothane is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Halothane can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Halothane is combined with Tilidine.]
[S01ED01, timolol, Halothane may decrease the antihypertensive activities of Timolol.]
[A10BB05, tolazamide, The metabolism of Halothane can be decreased when combined with Tolazamide.]
[M02AX02, tolazoline, Halothane may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Halothane can be decreased when combined with Tolbutamide.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Halothane.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Halothane is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Halothane is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Halothane is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Halothane is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Halothane can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Halothane.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Halothane.]
[C03AA06, trichlormethiazide, Halothane may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Halothane may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Halothane.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Halothane is combined with Trifluperidol.]
[N05AA05, triflupromazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Halothane may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Halothane is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Halothane.]
[C02BA01, trimethaphan, Halothane may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Halothane can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Halothane.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Halothane.]
[A03BB01, butylscopolamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Halothane is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Halothane.]
[C09CA09, azilsartan medoxomil, Halothane may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Halothane is combined with Tubocurarine.]
[J05AG05, rilpivirine, The metabolism of Halothane can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Halothane is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Halothane is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Halothane can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of myocardial depression can be increased when Verapamil is combined with Halothane.]
[N06AX09, viloxazine, The metabolism of Halothane can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Halothane may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Halothane can be increased when combined with Warfarin.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Halothane.]
[C03BA10, xipamide, Halothane may decrease the antihypertensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Halothane can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Halothane is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Halothane is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Halothane can be decreased when combined with Vemurafenib.]
[R03DC01, zafirlukast, The metabolism of Halothane can be decreased when combined with Zafirlukast.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Halothane is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Halothane.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Halothane.]
[G04BD07, tolterodine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Halothane may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Halothane can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Halothane is combined with Atracurium.]
[S01FA01, atropine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Halothane.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Halothane.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Halothane is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Halothane is combined with Mirabegron.]
[L02BB04, enzalutamide, The serum concentration of Halothane can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Halothane is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Halothane can be decreased when combined with Regorafenib.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Halothane.]
[J05AE04, nelfinavir, The metabolism of Halothane can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Halothane is combined with Rasagiline.]
[C08CA13, lercanidipine, Halothane may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Halothane is combined with Mosapride.]
