[P02BB01, trichlorfon, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Isoflurane.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Isoflurane.]
[L04AA27, fingolimod, The metabolism of Fingolimod can be decreased when combined with Isoflurane.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Isoflurane.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Isoflurane.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Isoflurane.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Isoflurane is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Isoflurane is combined with Azapropazone.]
[N06DA01, tacrine, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Isoflurane.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Isoflurane.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Terbutaline.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Isoflurane.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Isoflurane.]
[L04AX02, thalidomide, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Isoflurane.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Isoflurane.]
[L01AC01, thiotepa, The metabolism of Isoflurane can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Isoflurane.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Isoflurane is combined with Thiothixene.]
[B02AB01, aprotinin, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Isoflurane is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Isoflurane can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Isoflurane.]
[M02AX02, tolazoline, Isoflurane may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Isoflurane.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Isoflurane is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Isoflurane.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Isoflurane.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Isoflurane.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Isoflurane is combined with Triazolam.]
[C03AA06, trichlormethiazide, Isoflurane may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Isoflurane is combined with Trifluperidol.]
[N05AA05, triflupromazine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Isoflurane.]
[C02BA01, trimethaphan, Isoflurane may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Isoflurane.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Isoflurane.]
[A03BB01, butylscopolamine, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Isoflurane is combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tropicamide.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Isoflurane.]
[C09CA09, azilsartan medoxomil, Isoflurane may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Isoflurane is combined with Tubocurarine.]
