[P02BB01, trichlorfon, The therapeutic efficacy of Thiopental can be decreased when used in combination with Metrifonate.]
[G03XB02, ulipristal, The serum concentration of Ulipristal can be decreased when it is combined with Thiopental.]
[B01AD01, streptokinase, Thiopental may increase the hypotensive activities of Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiopental.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Thiopental can be increased when used in combination with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Thiopental.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Thiopental is combined with Sulthiame.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be decreased when it is combined with Thiopental.]
[N06DA01, tacrine, The therapeutic efficacy of Thiopental can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Thiopental.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Thiopental.]
[L01CB02, teniposide, The serum concentration of Teniposide can be decreased when it is combined with Thiopental.]
[R03CC03, terbutaline, The therapeutic efficacy of Thiopental can be decreased when used in combination with Terbutaline.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Thiopental.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Thiopental is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Thiopental is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Thiopental.]
[N04BC07, apomorphine, Thiopental may increase the hypotensive activities of Apomorphine.]
[L04AX02, thalidomide, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be decreased when it is combined with Thiopental.]
[R03DA04, theophylline, The serum concentration of Theophylline can be decreased when it is combined with Thiopental.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Thiopental.]
[L01AC01, thiotepa, The therapeutic efficacy of Thiopental can be decreased when used in combination with Thiotepa.]
