[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Sufentanil.]
[L04AA27, fingolimod, Sufentanil may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Sufentanil.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Sufentanil.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Sufentanil.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sufentanil is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Azapropazone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Temazepam.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Sufentanil is combined with Terbutaline.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Apomorphine.]
[L04AX02, thalidomide, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Theobromine can be decreased when used in combination with Sufentanil.]
[R06AD03, thiethylperazine, The risk or severity of hypotension and CNS depression can be increased when Thiethylperazine is combined with Sufentanil.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Sufentanil.]
[N05AB08, thioproperazine, The risk or severity of hypotension and CNS depression can be increased when Thioproperazine is combined with Sufentanil.]
[N05AC02, thioridazine, The risk or severity of hypotension and CNS depression can be increased when Thioridazine is combined with Sufentanil.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Sufentanil is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Sufentanil is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tilidine.]
[S01ED01, timolol, Sufentanil may decrease the antihypertensive activities of Timolol.]
[M02AX02, tolazoline, Sufentanil may decrease the antihypertensive activities of Tolazoline.]
