[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ketamine.]
[J01GA01, streptomycin, Ketamine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Ketamine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01CG01, sulbactam, Ketamine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Ketamine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Ketamine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Ketamine can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Ketamine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Ketamine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Ketamine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Ketamine can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Ketamine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Ketamine is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Ketamine.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Ketamine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Ketamine.]
[L01CB02, teniposide, The metabolism of Ketamine can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Ketamine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Ketamine is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Ketamine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Ketamine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Ketamine.]
[L04AX02, thalidomide, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Ketamine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Ketamine.]
[L01AC01, thiotepa, The metabolism of Ketamine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Ketamine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Ketamine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Ketamine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Ketamine is combined with Thiothixene.]
[G04BE06, moxisylyte, Ketamine may increase the neuromuscular blocking activities of Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Ketamine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ketamine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Ketamine is combined with Tilidine.]
[S01ED01, timolol, Ketamine may increase the bradycardic activities of Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[S01AA12, tobramycin, Ketamine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[V04CA01, tolbutamide, The metabolism of Ketamine can be decreased when combined with Tolbutamide.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Ketamine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Ketamine.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Ketamine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Ketamine is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Ketamine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The therapeutic efficacy of Ketamine can be decreased when used in combination with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Ketamine.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ketamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Ketamine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Ketamine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Ketamine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
