[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Propofol.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Propofol.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Propofol.]
[J01EC02, sulfadiazine, The metabolism of Propofol can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Propofol can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Propofol is combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Propofol can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Propofol can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Propofol can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Propofol can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Propofol.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Propofol.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Propofol is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Propofol.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Propofol is combined with Azapropazone.]
[N06DA01, tacrine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Tacrine is combined with Propofol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Propofol.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Propofol.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Propofol.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Terbutaline.]
[G03BA03, testosterone, The metabolism of Propofol can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Propofol is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Propofol is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Propofol is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Propofol.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Propofol.]
[L04AX02, thalidomide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Propofol.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Propofol.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Propofol.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Propofol.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Propofol is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Propofol is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Propofol is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Propofol is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Propofol can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Propofol is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Propofol.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Propofol.]
[M02AX02, tolazoline, Propofol may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Propofol.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Propofol.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Propofol is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Propofol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Propofol.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Propofol.]
[L01XF01, tretinoin, The metabolism of Propofol can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triamcinolone is combined with Propofol.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Propofol.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Propofol is combined with Triazolam.]
[C03AA06, trichlormethiazide, Propofol may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Propofol may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Propofol is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Propofol is combined with Trifluperidol.]
[N05AA05, triflupromazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Propofol may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Propofol can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Propofol is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Propofol.]
