[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[S02DA03, antipyrine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Antipyrine.]
[B01AD01, streptokinase, Procaine may increase the orthostatic hypotensive activities of Streptokinase.]
[J01GA01, streptomycin, The risk or severity of methemoglobinemia can be increased when Streptomycin is combined with Procaine.]
[L01AD04, streptozocin, The risk or severity of methemoglobinemia can be increased when Streptozocin is combined with Procaine.]
[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Procaine.]
[J01CA16, sulbenicillin, The risk or severity of methemoglobinemia can be increased when Sulbenicillin is combined with Procaine.]
[S01AB04, sulfacetamide, The risk or severity of methemoglobinemia can be increased when Sulfacetamide is combined with Procaine.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Sulfadiazine is combined with Procaine.]
[J01ED07, sulfamerazine, The risk or severity of methemoglobinemia can be increased when Sulfamerazine is combined with Procaine.]
[J01EC01, sulfamethoxazole, The risk or severity of methemoglobinemia can be increased when Sulfamethoxazole is combined with Procaine.]
[J01ED05, sulfamethoxypyridazine, The risk or severity of methemoglobinemia can be increased when Sulfamethoxypyridazine is combined with Procaine.]
[J01EB06, sulfanilamide, The risk or severity of methemoglobinemia can be increased when Sulfanilamide is combined with Procaine.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of methemoglobinemia can be increased when Sulfisoxazole is combined with Procaine.]
[N05AL01, sulpiride, Sulpiride may increase the neuromuscular blocking activities of Procaine.]
[N03AX03, sulthiame, The risk or severity of methemoglobinemia can be increased when Sulthiame is combined with Procaine.]
[A10BB04, glibornuride, Procaine may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Procaine may increase the hypoglycemic activities of Glymidine.]
[L01BB02, mercaptopurine, The risk or severity of methemoglobinemia can be increased when Mercaptopurine is combined with Procaine.]
[N06DA01, tacrine, Tacrine may increase the neuromuscular blocking activities of Procaine.]
[J01CA15, talampicillin, The risk or severity of methemoglobinemia can be increased when Talampicillin is combined with Procaine.]
[L02BA01, tamoxifen, The risk or severity of methemoglobinemia can be increased when Tamoxifen is combined with Procaine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Procaine.]
[L01CB02, teniposide, The risk or severity of methemoglobinemia can be increased when Teniposide is combined with Procaine.]
[R03CC03, terbutaline, Terbutaline may increase the neuromuscular blocking activities of Procaine.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Dabigatran etexilate.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Procaine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Tetracaine.]
[S03AA02, tetracycline, The risk or severity of methemoglobinemia can be increased when Tetracycline is combined with Procaine.]
[J01DI02, ceftaroline fosamil, The risk or severity of methemoglobinemia can be increased when Ceftaroline fosamil is combined with Procaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Procaine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[N04BC07, apomorphine, Procaine may increase the orthostatic hypotensive activities of Apomorphine.]
[L04AX02, thalidomide, Procaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XX41, eribulin, The risk or severity of methemoglobinemia can be increased when Eribulin is combined with Procaine.]
[J01BA02, thiamphenicol, The risk or severity of methemoglobinemia can be increased when Thiamphenicol is combined with Procaine.]
[R06AD03, thiethylperazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The risk or severity of methemoglobinemia can be increased when Thiotepa is combined with Procaine.]
[L01BB03, thioguanine, The risk or severity of methemoglobinemia can be increased when Tioguanine is combined with Procaine.]
[N05CA19, thiopental, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Procaine.]
[N05AB08, thioproperazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Procaine is combined with Thiothixene.]
[B02AB01, aprotinin, Aprotinin may increase the neuromuscular blocking activities of Procaine.]
[G04BE06, moxisylyte, Procaine may increase the neuromuscular blocking activities of Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Procaine is combined with Tiapride.]
[J01CA13, ticarcillin, The risk or severity of methemoglobinemia can be increased when Ticarcillin is combined with Procaine.]
[B01AC05, ticlopidine, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Procaine.]
[S01ED01, timolol, Procaine may increase the bradycardic activities of Timolol.]
[P01AB02, tinidazole, The risk or severity of methemoglobinemia can be increased when Tinidazole is combined with Procaine.]
[S01AA12, tobramycin, The risk or severity of methemoglobinemia can be increased when Tobramycin is combined with Procaine.]
[A10BB05, tolazamide, Procaine may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, Procaine may increase the hypotensive activities of Tolazoline.]
