[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[J01GA01, streptomycin, The risk or severity of methemoglobinemia can be increased when Streptomycin is combined with Lidocaine.]
[L01AD04, streptozocin, The risk or severity of methemoglobinemia can be increased when Streptozocin is combined with Lidocaine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lidocaine.]
[J01CA16, sulbenicillin, The risk or severity of methemoglobinemia can be increased when Sulbenicillin is combined with Lidocaine.]
[S01AB04, sulfacetamide, The risk or severity of methemoglobinemia can be increased when Sulfacetamide is combined with Lidocaine.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Sulfadiazine is combined with Lidocaine.]
[J01ED07, sulfamerazine, The risk or severity of methemoglobinemia can be increased when Sulfamerazine is combined with Lidocaine.]
[J01EC01, sulfamethoxazole, The risk or severity of methemoglobinemia can be increased when Sulfamethoxazole is combined with Lidocaine.]
[J01ED05, sulfamethoxypyridazine, The risk or severity of methemoglobinemia can be increased when Sulfamethoxypyridazine is combined with Lidocaine.]
[J01EB06, sulfanilamide, The risk or severity of methemoglobinemia can be increased when Sulfanilamide is combined with Lidocaine.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Sulfapyridine.]
[S01AB02, sulfisoxazole, The risk or severity of methemoglobinemia can be increased when Sulfisoxazole is combined with Lidocaine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of methemoglobinemia can be increased when Sulthiame is combined with Lidocaine.]
[L01BB02, mercaptopurine, The risk or severity of methemoglobinemia can be increased when Mercaptopurine is combined with Lidocaine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Lidocaine.]
[J01CA15, talampicillin, The risk or severity of methemoglobinemia can be increased when Talampicillin is combined with Lidocaine.]
[L02BA01, tamoxifen, The risk or severity of methemoglobinemia can be increased when Tamoxifen is combined with Lidocaine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Lidocaine.]
[L01CB02, teniposide, The risk or severity of methemoglobinemia can be increased when Teniposide is combined with Lidocaine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Lidocaine.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Lidocaine.]
[S03AA02, tetracycline, The risk or severity of methemoglobinemia can be increased when Tetracycline is combined with Lidocaine.]
[J01DI02, ceftaroline fosamil, The risk or severity of methemoglobinemia can be increased when Ceftaroline fosamil is combined with Lidocaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Apomorphine.]
[L04AX02, thalidomide, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Lidocaine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Lidocaine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Lidocaine.]
[L01XX41, eribulin, The risk or severity of methemoglobinemia can be increased when Eribulin is combined with Lidocaine.]
[J01BA02, thiamphenicol, The risk or severity of methemoglobinemia can be increased when Thiamphenicol is combined with Lidocaine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The risk or severity of methemoglobinemia can be increased when Thiotepa is combined with Lidocaine.]
[L01BB03, thioguanine, The risk or severity of methemoglobinemia can be increased when Tioguanine is combined with Lidocaine.]
[N05CA19, thiopental, The risk or severity of methemoglobinemia can be increased when Thiopental is combined with Lidocaine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Lidocaine can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Lidocaine.]
[C01BB04, aprindine, Lidocaine may increase the arrhythmogenic activities of Aprindine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tiapride.]
[J01CA13, ticarcillin, The risk or severity of methemoglobinemia can be increased when Ticarcillin is combined with Lidocaine.]
[B01AC05, ticlopidine, The metabolism of Lidocaine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tilidine.]
[S01ED01, timolol, The serum concentration of Lidocaine can be increased when it is combined with Timolol.]
[S01AA12, tobramycin, The risk or severity of methemoglobinemia can be increased when Tobramycin is combined with Lidocaine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Lidocaine.]
[N06AF04, tranylcypromine, The metabolism of Lidocaine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of methemoglobinemia can be increased when Tretinoin is combined with Lidocaine.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Lidocaine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Triazolam.]
[A03AB12, mepenzolate, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Lidocaine.]
[S01AD02, trifluridine, The risk or severity of methemoglobinemia can be increased when Trifluridine is combined with Lidocaine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Lidocaine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Lidocaine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Lidocaine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alimemazine.]
[N03AC02, trimethadione, Lidocaine may increase the arrhythmogenic activities of Trimethadione.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Lidocaine.]
[R06AC04, tripelennamine, The metabolism of Lidocaine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Triprolidine.]
[A03BB01, butylscopolamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Lidocaine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Lidocaine can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Lidocaine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Lidocaine.]
[L01FX04, ipilimumab, The risk or severity of methemoglobinemia can be increased when Ipilimumab is combined with Lidocaine.]
[L01EX04, vandetanib, The risk or severity of methemoglobinemia can be increased when Vandetanib is combined with Lidocaine.]
[L01AD08, uracil mustard, The risk or severity of methemoglobinemia can be increased when Uracil mustard is combined with Lidocaine.]
[L02BX03, abiraterone, The serum concentration of Lidocaine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Lidocaine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Lidocaine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Lidocaine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Lidocaine can be decreased when combined with Rilpivirine.]
[A07AA12, fidaxomicin, The risk or severity of methemoglobinemia can be increased when Fidaxomicin is combined with Lidocaine.]
[S01AA28, vancomycin, The risk or severity of methemoglobinemia can be increased when Vancomycin is combined with Lidocaine.]
[N03AX21, ezogabine, The risk or severity of methemoglobinemia can be increased when Ezogabine is combined with Lidocaine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Lidocaine.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Lidocaine.]
[C08DA01, verapamil, Lidocaine may increase the arrhythmogenic activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Lidocaine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of methemoglobinemia can be increased when Vinblastine is combined with Lidocaine.]
[C04AX07, vincamine, The risk or severity of methemoglobinemia can be increased when Vincamine is combined with Lidocaine.]
[L01CA02, vincristine, The risk or severity of methemoglobinemia can be increased when Vincristine is combined with Lidocaine.]
[L01CA03, vindesine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Lidocaine.]
[B01AA03, warfarin, The metabolism of Warfarin can be decreased when combined with Lidocaine.]
[S01AA13, fusidic acid, The metabolism of Lidocaine can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Lidocaine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Lidocaine.]
[L01EC01, vemurafenib, The serum concentration of Lidocaine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of methemoglobinemia can be increased when Pamidronic acid is combined with Lidocaine.]
[L01FX05, brentuximab vedotin, The risk or severity of methemoglobinemia can be increased when Brentuximab vedotin is combined with Lidocaine.]
[L01ED01, crizotinib, The risk or severity of methemoglobinemia can be increased when Crizotinib is combined with Lidocaine.]
[L01XD05, temoporfin, The risk or severity of methemoglobinemia can be increased when Temoporfin is combined with Lidocaine.]
[J01MA13, trovafloxacin, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Lidocaine.]
[L01XX02, asparaginase, The risk or severity of methemoglobinemia can be increased when Asparaginase Escherichia coli is combined with Lidocaine.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of methemoglobinemia can be increased when Alemtuzumab is combined with Lidocaine.]
[L01EJ01, ruxolitinib, The risk or severity of methemoglobinemia can be increased when Ruxolitinib is combined with Lidocaine.]
[G04BD07, tolterodine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, The risk or severity of methemoglobinemia can be increased when Doripenem is combined with Lidocaine.]
[C07AB03, atenolol, The serum concentration of Lidocaine can be increased when it is combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Peginterferon alfa-2a is combined with Lidocaine.]
[L01FA01, rituximab, The risk or severity of methemoglobinemia can be increased when Rituximab is combined with Lidocaine.]
[J02AC03, voriconazole, The metabolism of Lidocaine can be decreased when combined with Voriconazole.]
