[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Morphine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Morphine.]
[M03AB01, succinylcholine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Morphine.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Morphine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Morphine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Morphine is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Morphine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Temazepam.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Morphine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Morphine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Morphine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Morphine is combined with Apomorphine.]
[L04AX02, thalidomide, Morphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Theobromine can be decreased when used in combination with Morphine.]
[R03DA04, theophylline, The metabolism of Morphine can be decreased when combined with Theophylline.]
[R06AD03, thiethylperazine, The risk or severity of hypotension and CNS depression can be increased when Thiethylperazine is combined with Morphine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Morphine.]
[N05AB08, thioproperazine, The risk or severity of hypotension and CNS depression can be increased when Thioproperazine is combined with Morphine.]
[N05AC02, thioridazine, The risk or severity of hypotension and CNS depression can be increased when Thioridazine is combined with Morphine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Morphine is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Morphine is combined with Tiapride.]
[B01AC05, ticlopidine, The therapeutic efficacy of Ticlopidine can be decreased when used in combination with Morphine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Morphine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of adverse effects can be increased when Morphine is combined with Timolol.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Morphine is combined with Tolazoline.]
