[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Oxycodone.]
[M03AB01, succinylcholine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Oxycodone.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Oxycodone.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Oxycodone is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Oxycodone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Temazepam.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Oxycodone.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Oxycodone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Oxycodone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Apomorphine.]
[L04AX02, thalidomide, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Theobromine can be decreased when used in combination with Oxycodone.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Oxycodone.]
[R06AD03, thiethylperazine, The risk or severity of hypotension and CNS depression can be increased when Thiethylperazine is combined with Oxycodone.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Oxycodone.]
[N05AB08, thioproperazine, The risk or severity of hypotension and CNS depression can be increased when Thioproperazine is combined with Oxycodone.]
[N05AC02, thioridazine, The metabolism of Oxycodone can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Oxycodone is combined with Thiothixene.]
