[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Meperidine.]
[J01GA01, streptomycin, Meperidine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Meperidine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01CG01, sulbactam, Meperidine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The metabolism of Meperidine can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Meperidine can be increased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Meperidine is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Meperidine is combined with Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Meperidine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Meperidine is combined with Temazepam.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Meperidine.]
[R03CC03, terbutaline, Meperidine may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Meperidine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Meperidine can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Meperidine is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Meperidine can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Meperidine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Meperidine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Meperidine is combined with Apomorphine.]
[L04AX02, thalidomide, Meperidine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Meperidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Meperidine.]
[P02CA02, thiabendazole, Meperidine may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of hypotension and CNS depression can be increased when Thiethylperazine is combined with Meperidine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Meperidine.]
[N05CA19, thiopental, Thiopental may increase the hypotensive and central nervous system depressant (CNS depressant) activities of Meperidine.]
[N05AB08, thioproperazine, The risk or severity of hypotension and CNS depression can be increased when Thioproperazine is combined with Meperidine.]
[N05AC02, thioridazine, The risk or severity of hypotension and CNS depression can be increased when Thioridazine is combined with Meperidine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Meperidine is combined with Thiothixene.]
[G04BE06, moxisylyte, Meperidine may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Meperidine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Meperidine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[P01AB02, tinidazole, Meperidine may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Meperidine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Meperidine may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Meperidine may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Meperidine which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Meperidine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Meperidine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Tranylcypromine is combined with Meperidine.]
