[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Fentanyl is combined with Antipyrine.]
[J01GA01, streptomycin, Fentanyl may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L04AA27, fingolimod, Fentanyl may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Fentanyl.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01CG01, sulbactam, Fentanyl may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The metabolism of Fentanyl can be decreased when combined with Sulfamethoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Fentanyl.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Fentanyl is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Fentanyl is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Fentanyl can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Temazepam.]
[L01CB02, teniposide, The metabolism of Fentanyl can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Fentanyl is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, Fentanyl may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Fentanyl can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fentanyl.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Fentanyl.]
[L04AX02, thalidomide, Fentanyl may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of hypotension and CNS depression can be increased when Thiethylperazine is combined with Fentanyl.]
[N05CA19, thiopental, The metabolism of Fentanyl can be decreased when combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of hypotension and CNS depression can be increased when Thioproperazine is combined with Fentanyl.]
[N05AC02, thioridazine, The risk or severity of hypotension and CNS depression can be increased when Thioridazine is combined with Fentanyl.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Fentanyl is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Fentanyl is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tiapride.]
[B01AC05, ticlopidine, Ticlopidine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tilidine.]
[S01ED01, timolol, Fentanyl may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Fentanyl may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Fentanyl may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Fentanyl may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[M02AX02, tolazoline, Fentanyl may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, Fentanyl may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Fentanyl.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Fentanyl can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Fentanyl.]
[L01XF01, tretinoin, The metabolism of Fentanyl can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Fentanyl can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Fentanyl is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Fentanyl which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Fentanyl.]
[A16AX12, trientine, Fentanyl may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Fentanyl.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Fentanyl is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Fentanyl.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Fentanyl.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Fentanyl.]
[R06AD01, trimeprazine, The risk or severity of hypotension and CNS depression can be increased when Alimemazine is combined with Fentanyl.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Fentanyl.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Fentanyl.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Fentanyl which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Fentanyl.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Fentanyl.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Fentanyl.]
[J01FA08, troleandomycin, The metabolism of Fentanyl can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Fentanyl is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Fentanyl.]
[C09CA09, azilsartan medoxomil, Fentanyl may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Fentanyl.]
[R03DX07, roflumilast, Fentanyl may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Fentanyl may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Fentanyl may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Fentanyl can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Fentanyl can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Fentanyl can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Fentanyl can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Fentanyl can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Fentanyl may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
