[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Buprenorphine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J01EC02, sulfadiazine, The metabolism of Buprenorphine can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Buprenorphine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Buprenorphine can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Buprenorphine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Buprenorphine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Buprenorphine can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Buprenorphine can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, Sulpiride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Buprenorphine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Buprenorphine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Buprenorphine.]
[G03BA03, testosterone, Buprenorphine may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Buprenorphine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AE05, lurasidone, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AX02, thalidomide, Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Theobromine can be decreased when used in combination with Buprenorphine.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Buprenorphine.]
