[P02BB01, trichlorfon, The therapeutic efficacy of Tramadol can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Tramadol.]
[J01GA01, streptomycin, Tramadol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of CNS depression can be increased when Succinylcholine is combined with Tramadol.]
[A02BX02, sucralfate, Tramadol may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Tramadol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Tramadol may decrease the excretion rate of Sulfadiazine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The metabolism of Tramadol can be decreased when combined with Sulfamethoxazole.]
[J01EB06, sulfanilamide, The metabolism of Tramadol can be decreased when combined with Sulfanilamide.]
[M04AB02, sulfinpyrazone, The metabolism of Tramadol can be increased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of CNS depression can be increased when Sulpiride is combined with Tramadol.]
[N03AX03, sulthiame, The risk or severity of CNS depression can be increased when Sulthiame is combined with Tramadol.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06DA01, tacrine, The therapeutic efficacy of Tramadol can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tramadol can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of CNS depression can be increased when Temazepam is combined with Tramadol.]
[L01CB02, teniposide, The metabolism of Tramadol can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The therapeutic efficacy of Tramadol can be decreased when used in combination with Terbutaline.]
[B01AE07, dabigatran etexilate, Tramadol may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Tramadol can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Tramadol.]
[S01HA03, tetracaine, The risk or severity of CNS depression can be increased when Tetracaine is combined with Tramadol.]
[S03AA02, tetracycline, The metabolism of Tramadol can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of serotonin syndrome can be increased when Lurasidone is combined with Tramadol.]
[A04AD10, dronabinol, The risk or severity of CNS depression can be increased when Dronabinol is combined with Tramadol.]
[N04BC07, apomorphine, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Tramadol.]
[L04AX02, thalidomide, Tramadol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Tramadol.]
[P02CA02, thiabendazole, Tramadol may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of CNS depression can be increased when Thiethylperazine is combined with Tramadol.]
[L01AC01, thiotepa, The metabolism of Tramadol can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The metabolism of Tramadol can be decreased when combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of CNS depression can be increased when Thioproperazine is combined with Tramadol.]
[N05AC02, thioridazine, The risk or severity of serotonin syndrome can be increased when Thioridazine is combined with Tramadol.]
[N05AF04, thiothixene, The metabolism of Tramadol can be decreased when combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Tramadol.]
[B02AB01, aprotinin, The therapeutic efficacy of Tramadol can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, Tramadol may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of CNS depression can be increased when Tiapride is combined with Tramadol.]
[B01AC05, ticlopidine, The metabolism of Tramadol can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of serotonin syndrome can be increased when Tilidine is combined with Tramadol.]
[S01ED01, timolol, Tramadol may decrease the excretion rate of Timolol which could result in a higher serum level.]
[P01AB02, tinidazole, Tramadol may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Tramadol may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tramadol may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Tramadol may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of CNS depression can be increased when Tolperisone is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of serotonin syndrome and seizure can be increased when Tranylcypromine is combined with Tramadol.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Tramadol.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Tramadol.]
[S01BA05, triamcinolone, The metabolism of Tramadol can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
