[S02DA03, antipyrine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Streptokinase.]
[J01GA01, streptomycin, Diflunisal may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Diflunisal.]
[A02BX02, sucralfate, Diflunisal may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Diflunisal may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Diflunisal may increase the hypoglycemic activities of Sulfadiazine.]
[J01EC01, sulfamethoxazole, Diflunisal may increase the hypoglycemic activities of Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The risk or severity of bleeding can be increased when Diflunisal is combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, Diflunisal may increase the hypoglycemic activities of Sulfisoxazole.]
[M01AB02, sulindac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Sulindac.]
[M01AE07, suprofen, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Suprofen.]
[A10BB04, glibornuride, Diflunisal may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Diflunisal may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Azapropazone.]
[L01BB02, mercaptopurine, The metabolism of Mercaptopurine can be decreased when combined with Diflunisal.]
[N05CD07, temazepam, Diflunisal may decrease the excretion rate of Temazepam which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Diflunisal is combined with Terbutaline.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dabigatran etexilate.]
[G03BA03, testosterone, Diflunisal may decrease the excretion rate of Testosterone which could result in a higher serum level.]
[S03AA02, tetracycline, Diflunisal may decrease the excretion rate of Tetracycline which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Ceftaroline fosamil.]
[N05AE05, lurasidone, The risk or severity of hypertension can be increased when Diflunisal is combined with Lurasidone.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Diflunisal may decrease the excretion rate of Thiabendazole which could result in a higher serum level.]
[R06AD03, thiethylperazine, Diflunisal may decrease the excretion rate of Thiethylperazine which could result in a higher serum level.]
[L01BB03, thioguanine, The metabolism of Tioguanine can be decreased when combined with Diflunisal.]
[N05AB08, thioproperazine, The risk or severity of hypertension can be increased when Diflunisal is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of hypertension can be increased when Thioridazine is combined with Diflunisal.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Diflunisal is combined with Moxisylyte.]
[N05AL03, tiapride, Diflunisal may decrease the excretion rate of Tiapride which could result in a higher serum level.]
[B01AC05, ticlopidine, The risk or severity of bleeding can be increased when Diflunisal is combined with Ticlopidine.]
[S01ED01, timolol, Diflunisal may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Diflunisal may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Diflunisal may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Diflunisal may increase the hypoglycemic activities of Tolazamide.]
[M02AX02, tolazoline, The therapeutic efficacy of Tolazoline can be decreased when used in combination with Diflunisal.]
[V04CA01, tolbutamide, Diflunisal may increase the hypoglycemic activities of Tolbutamide.]
[M02AA21, tolmetin, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Tolmetin.]
[N02AX02, tramadol, Diflunisal may decrease the excretion rate of Tramadol which could result in a higher serum level.]
[N06AF04, tranylcypromine, The risk or severity of hypertension can be increased when Tranylcypromine is combined with Diflunisal.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Diflunisal is combined with Trapidil.]
[N06AX05, trazodone, The risk or severity of gastrointestinal bleeding can be increased when Trazodone is combined with Diflunisal.]
[S01BA05, triamcinolone, The risk or severity of gastrointestinal irritation can be increased when Triamcinolone is combined with Diflunisal.]
[C03DB02, triamterene, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Triamterene.]
[N05CD05, triazolam, Diflunisal may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Diflunisal.]
[A16AX12, trientine, Diflunisal may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Diflunisal.]
[S01AD02, trifluridine, Diflunisal may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[D07AC02, fluclorolone, The risk or severity of gastrointestinal irritation can be increased when Fluclorolone is combined with Diflunisal.]
[R03BA07, mometasone, The risk or severity of gastrointestinal irritation can be increased when Mometasone is combined with Diflunisal.]
[A03AA05, trimebutine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Trimebutine.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Trimethadione is combined with Diflunisal.]
[C02BA01, trimethaphan, The therapeutic efficacy of Trimethaphan can be decreased when used in combination with Diflunisal.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Trimethoprim is combined with Diflunisal.]
[N06AA06, trimipramine, The risk or severity of gastrointestinal bleeding can be increased when Trimipramine is combined with Diflunisal.]
[N06AX24, vilazodone, The risk or severity of hypertension can be increased when Diflunisal is combined with Vilazodone.]
[C09CA09, azilsartan medoxomil, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Azilsartan medoxomil is combined with Diflunisal.]
[R03DX07, roflumilast, Diflunisal may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Diflunisal may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Diflunisal may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[A10BH05, linagliptin, Diflunisal may increase the hypoglycemic activities of Linagliptin.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Urokinase.]
[S01AA28, vancomycin, Diflunisal may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The metabolism of Ezogabine can be decreased when combined with Diflunisal.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Ticagrelor.]
[C08DA01, verapamil, The risk or severity of bleeding can be increased when Verapamil is combined with Diflunisal.]
[N06AX09, viloxazine, Diflunisal may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[C04AX07, vincamine, The therapeutic efficacy of Vincamine can be decreased when used in combination with Diflunisal.]
[B03BA01, vitamin B12, Diflunisal may decrease the excretion rate of Cyanocobalamin which could result in a higher serum level.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Diflunisal is combined with Xenon.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Diflunisal.]
[J05AF01, zidovudine, The risk or severity of bleeding can be increased when Zidovudine is combined with Diflunisal.]
[N05AF05, zuclopenthixol, The risk or severity of hypertension can be increased when Diflunisal is combined with Zuclopenthixol.]
[M05BA03, pamidronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Pamidronic acid.]
[M05BA05, tiludronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Tiludronic acid.]
[B06AC02, icatibant, Diflunisal may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Lepirudin.]
[A02BC04, rabeprazole, Diflunisal may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Ibandronate.]
[J01MA13, trovafloxacin, Diflunisal may increase the neuroexcitatory activities of Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of hypertension can be increased when Ziprasidone is combined with Diflunisal.]
[G03AC10, drospirenone, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Drospirenone.]
[V03AC02, deferiprone, Diflunisal may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The therapeutic efficacy of Acetylsalicylic acid can be decreased when used in combination with Diflunisal.]
[L01EJ01, ruxolitinib, Diflunisal may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, Diflunisal may decrease the excretion rate of Tolterodine which could result in a higher serum level.]
[J01DH04, doripenem, Diflunisal may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Diflunisal may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The serum concentration of Diflunisal can be increased when it is combined with Voriconazole.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Atropine is combined with Diflunisal.]
[M01CB03, auranofin, Diflunisal may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[S01EE05, tafluprost, The therapeutic efficacy of Tafluprost can be decreased when used in combination with Diflunisal.]
[H02AB11, prednylidene, The risk or severity of gastrointestinal irritation can be increased when Prednylidene is combined with Diflunisal.]
[B03XA04, peginesatide, Diflunisal may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Diflunisal may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Diflunisal.]
[L01BC05, gemcitabine, Diflunisal may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Diflunisal may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, The risk or severity of nephrotoxicity can be increased when Bacitracin is combined with Diflunisal.]
[M03BX01, baclofen, Diflunisal may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of adverse effects can be increased when Diflunisal is combined with Varicella zoster vaccine (live/attenuated).]
[A08AA11, lorcaserin, Diflunisal may decrease the excretion rate of Lorcaserin which could result in a higher serum level.]
[G04BD12, mirabegron, The risk or severity of hypertension can be increased when Diflunisal is combined with Mirabegron.]
[L02BB04, enzalutamide, Diflunisal may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Defibrotide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Octopamine.]
[H02AA01, aldosterone, The risk or severity of gastrointestinal irritation can be increased when Aldosterone is combined with Diflunisal.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Diflunisal.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be decreased when it is combined with Diflunisal.]
[D02BA02, octinoxate, Diflunisal may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[N04BD02, rasagiline, The risk or severity of hypertension can be increased when Diflunisal is combined with Rasagiline.]
[C08CA13, lercanidipine, The therapeutic efficacy of Lercanidipine can be decreased when used in combination with Diflunisal.]
[N02CC03, zolmitriptan, The risk or severity of hypertension can be increased when Zolmitriptan is combined with Diflunisal.]
[V09IX04, fluorodeoxyglucose F18, Diflunisal may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, The risk or severity of hypertension can be increased when Diflunisal is combined with Diethyl ether.]
[V08CA11, gadofosveset, Diflunisal may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Apixaban.]
[A16AX08, teduglutide, Diflunisal may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Bencyclane.]
[A10BH04, alogliptin, Diflunisal may increase the hypoglycemic activities of Alogliptin.]
[A16AX09, glycerol phenylbutyrate, Diflunisal may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Diflunisal.]
[L04AX06, pomalidomide, Diflunisal may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of adverse effects can be increased when Diflunisal is combined with Benorilate.]
[A10BK02, canagliflozin, Diflunisal may increase the hypoglycemic activities of Canagliflozin.]
[J01MA15, gemifloxacin, Diflunisal may increase the neuroexcitatory activities of Gemifloxacin.]
[S01AE07, moxifloxacin, Diflunisal may increase the neuroexcitatory activities of Moxifloxacin.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be increased when used in combination with Diflunisal.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin detemir.]
[A10BX05, pramlintide, Diflunisal may increase the hypoglycemic activities of Pramlintide.]
[L03AA12, ancestim, Diflunisal may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of adverse effects can be increased when Celecoxib is combined with Diflunisal.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Diflunisal is combined with Naratriptan.]
