[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Almotriptan.]
[J01GA01, streptomycin, Almotriptan may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Almotriptan.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01CG01, sulbactam, Almotriptan may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Almotriptan can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, Almotriptan may decrease the excretion rate of Sulfamethoxazole which could result in a higher serum level.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Almotriptan.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Almotriptan is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Almotriptan.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Almotriptan.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Almotriptan.]
[B01AE07, dabigatran etexilate, Almotriptan may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Almotriptan.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Almotriptan.]
[L04AX02, thalidomide, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Almotriptan.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thiethylperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Almotriptan.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Almotriptan can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Almotriptan is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Almotriptan.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Almotriptan is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Almotriptan can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tilidine.]
[S01ED01, timolol, Almotriptan may decrease the antihypertensive activities of Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[S01AA12, tobramycin, Almotriptan may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[M02AX02, tolazoline, Almotriptan may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Almotriptan.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Almotriptan.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Almotriptan can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Almotriptan.]
[L01XF01, tretinoin, The metabolism of Almotriptan can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Almotriptan.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Almotriptan may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Trifluperidol.]
[N05AA05, triflupromazine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Almotriptan can be decreased when combined with Mometasone.]
[A03AA05, trimebutine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Almotriptan.]
[C02BA01, trimethaphan, Almotriptan may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Almotriptan can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Almotriptan.]
[R06AC04, tripelennamine, The metabolism of Almotriptan can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Almotriptan.]
[A03BB01, butylscopolamine, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Almotriptan can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Almotriptan can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Almotriptan.]
[C09CA09, azilsartan medoxomil, Almotriptan may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Tubocurarine.]
[R03DX07, roflumilast, Almotriptan may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Almotriptan may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[R02AA14, oxyquinoline, Almotriptan may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Almotriptan can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Almotriptan can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Almotriptan can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Almotriptan can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Almotriptan can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Almotriptan may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Almotriptan is combined with Ezogabine.]
[B01AF01, rivaroxaban, Almotriptan may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Almotriptan is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Almotriptan can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Almotriptan can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Almotriptan can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Almotriptan may decrease the antihypertensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Almotriptan which could result in a higher serum level.]
[B01AA03, warfarin, Almotriptan may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Almotriptan is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Almotriptan can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Almotriptan is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Almotriptan can be decreased when combined with Indinavir.]
