[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Eletriptan.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Eletriptan.]
[J01EC02, sulfadiazine, The metabolism of Eletriptan can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Eletriptan can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Eletriptan can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Eletriptan can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Eletriptan can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Eletriptan can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Eletriptan can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Eletriptan is combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Eletriptan.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Eletriptan is combined with Azapropazone.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Eletriptan.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Temazepam.]
[L01CB02, teniposide, The metabolism of Eletriptan can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Eletriptan is combined with Terbutaline.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Eletriptan.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Eletriptan.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Apomorphine.]
[L04AX02, thalidomide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Eletriptan.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiethylperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Eletriptan can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Eletriptan.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Eletriptan is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Eletriptan can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tilidine.]
[S01ED01, timolol, Eletriptan may decrease the antihypertensive activities of Timolol.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Eletriptan.]
[M02AX02, tolazoline, Eletriptan may decrease the antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Eletriptan.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Eletriptan is combined with Tolmetin.]
