[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Frovatriptan.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Frovatriptan.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Frovatriptan.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Frovatriptan is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Frovatriptan can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Frovatriptan can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Frovatriptan.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Frovatriptan.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Frovatriptan.]
[L04AX02, thalidomide, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Frovatriptan.]
[R03DA04, theophylline, The metabolism of Frovatriptan can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Frovatriptan can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thiethylperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Frovatriptan.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Frovatriptan is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Frovatriptan can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tilidine.]
[S01ED01, timolol, Frovatriptan may decrease the antihypertensive activities of Timolol.]
[M02AX02, tolazoline, Frovatriptan may decrease the antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Frovatriptan.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Frovatriptan is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Frovatriptan.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Frovatriptan.]
[C03DB02, triamterene, The metabolism of Frovatriptan can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Frovatriptan.]
[C03AA06, trichlormethiazide, Frovatriptan may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Trifluperidol.]
[N05AA05, triflupromazine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Frovatriptan.]
[C02BA01, trimethaphan, Frovatriptan may decrease the antihypertensive activities of Trimethaphan.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Frovatriptan.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Frovatriptan.]
[A03BB01, butylscopolamine, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Frovatriptan.]
[C09CA09, azilsartan medoxomil, Frovatriptan may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Tubocurarine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Frovatriptan.]
[L02BX03, abiraterone, The serum concentration of Frovatriptan can be increased when it is combined with Abiraterone.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of hypertension can be increased when Frovatriptan is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Frovatriptan can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Frovatriptan can be decreased when combined with Viloxazine.]
[C04AX07, vincamine, Frovatriptan may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The metabolism of Frovatriptan can be decreased when combined with Warfarin.]
