[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Carbamazepine.]
[A14AA02, stanozolol, The therapeutic efficacy of Carbamazepine can be increased when used in combination with Stanozolol.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Carbamazepine.]
[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Carbamazepine.]
[J01GA01, streptomycin, Streptomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L04AA04, rabbit anti-human T-lymphocyte globulin, The risk or severity of adverse effects can be increased when Antithymocyte immunoglobulin (rabbit) is combined with Carbamazepine.]
[L01AD04, streptozocin, The risk or severity of adverse effects can be increased when Streptozocin is combined with Carbamazepine.]
[L04AA27, fingolimod, The serum concentration of Fingolimod can be decreased when it is combined with Carbamazepine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Carbamazepine.]
[A02BX02, sucralfate, Sucralfate can cause a decrease in the absorption of Carbamazepine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CG01, sulbactam, Sulbactam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be increased when combined with Carbamazepine.]
[J01EC01, sulfamethoxazole, The risk or severity of myelosuppression can be increased when Sulfamethoxazole is combined with Carbamazepine.]
[M04AB02, sulfinpyrazone, The metabolism of Carbamazepine can be increased when combined with Sulfinpyrazone.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Carbamazepine.]
[N03AX03, sulthiame, Carbamazepine may increase the Change in thyroid function activities of Sulthiame.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01BB02, mercaptopurine, The serum concentration of Mercaptopurine can be decreased when it is combined with Carbamazepine.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Carbamazepine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Carbamazepine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Carbamazepine.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be decreased when it is combined with Carbamazepine.]
[G03BA03, testosterone, The metabolism of Carbamazepine can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Carbamazepine is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Carbamazepine can be decreased when combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be increased when combined with Carbamazepine.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[N04BC07, apomorphine, The metabolism of Carbamazepine can be decreased when combined with Apomorphine.]
[L04AX02, thalidomide, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The serum concentration of Theobromine can be decreased when it is combined with Carbamazepine.]
[R03DA04, theophylline, The serum concentration of Theophylline can be decreased when it is combined with Carbamazepine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be increased when combined with Carbamazepine.]
[L01XX41, eribulin, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Eribulin.]
