[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Oxcarbazepine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxcarbazepine.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Oxcarbazepine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sulthiame.]
[L01BB02, mercaptopurine, Oxcarbazepine may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be increased when combined with Oxcarbazepine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Oxcarbazepine.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Oxcarbazepine.]
[G03BA03, testosterone, The metabolism of Testosterone can be increased when combined with Oxcarbazepine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Oxcarbazepine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Oxcarbazepine.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Oxcarbazepine.]
[L04AX02, thalidomide, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Oxcarbazepine may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Oxcarbazepine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Oxcarbazepine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Oxcarbazepine.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Oxcarbazepine.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Oxcarbazepine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Oxcarbazepine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Oxcarbazepine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Oxcarbazepine.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Oxcarbazepine.]
