[S02DA03, antipyrine, The protein binding of Valproic acid can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Valproic acid.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Valproic acid.]
[J01EC02, sulfadiazine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Valproic acid can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Valproic acid.]
[J01EC03, sulfamoxole, The metabolism of Valproic acid can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Valproic acid can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Valproic acid.]
[M01AB02, sulindac, The protein binding of Valproic acid can be decreased when combined with Sulindac.]
[N05AL01, sulpiride, The risk or severity of QTc prolongation can be increased when Sulpiride is combined with Valproic acid.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sulthiame.]
[M01AE07, suprofen, The protein binding of Valproic acid can be decreased when combined with Suprofen.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Valproic acid.]
[M01AX04, apazone, The protein binding of Valproic acid can be decreased when combined with Azapropazone.]
[L01BB02, mercaptopurine, The excretion of Mercaptopurine can be decreased when combined with Valproic acid.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Valproic acid.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Valproic acid.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Valproic acid.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Valproic acid.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Valproic acid.]
[G03BA03, testosterone, The excretion of Valproic acid can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Valproic acid is combined with Tetracaine.]
[S03AA02, tetracycline, The excretion of Valproic acid can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Valproic acid.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Valproic acid.]
[N04BC07, apomorphine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Valproic acid.]
[L04AX02, thalidomide, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Valproic acid may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Valproic acid.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Valproic acid.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Valproic acid.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Valproic acid.]
[N05CA19, thiopental, The serum concentration of Thiopental can be increased when it is combined with Valproic acid.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Valproic acid.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Valproic acid can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Valproic acid.]
[A10BB05, tolazamide, The metabolism of Tolazamide can be decreased when combined with Valproic acid.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Valproic acid.]
[M02AA21, tolmetin, The protein binding of Valproic acid can be decreased when combined with Tolmetin.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Valproic acid can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Valproic acid.]
[L01XF01, tretinoin, Valproic acid may increase the Pseudotumor Cerebri activities of Tretinoin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Valproic acid.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Triazolam.]
[A03AB12, mepenzolate, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Trifluoperazine.]
[S01AD02, trifluridine, The excretion of Trifluridine can be decreased when combined with Valproic acid.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Valproic acid is combined with Trifluperidol.]
[N05AA05, triflupromazine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Valproic acid.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Valproic acid.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Valproic acid.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Valproic acid.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Valproic acid.]
[A03BB01, butylscopolamine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Valproic acid is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Valproic acid.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Valproic acid.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Valproic acid.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Valproic acid.]
[J05AG05, rilpivirine, The metabolism of Valproic acid can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Valproic acid.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Valproic acid.]
[B01AC24, ticagrelor, The metabolism of Valproic acid can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Valproic acid.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Valproic acid is combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Valproic acid.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Valproic acid.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Valproic acid.]
[S01XA02, vitamin A, Valproic acid may increase the Pseudotumor Cerebri activities of Vitamin A.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Valproic acid.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Valproic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Valproic acid.]
[J05AF01, zidovudine, The serum concentration of Zidovudine can be increased when it is combined with Valproic acid.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Valproic acid can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Valproic acid is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Valproic acid.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Valproic acid.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Valproic acid.]
[R03DC01, zafirlukast, The metabolism of Valproic acid can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Valproic acid.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Valproic acid.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Valproic acid is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Valproic acid.]
[N02BA01, aspirin, The metabolism of Valproic acid can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Valproic acid.]
[G04BD07, tolterodine, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
