[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Vigabatrin.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Vigabatrin.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Vigabatrin.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Sulthiame.]
[L01BB02, mercaptopurine, Vigabatrin may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Vigabatrin.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Vigabatrin.]
[L04AX02, thalidomide, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Vigabatrin may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Vigabatrin may increase the excretion rate of Theophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Vigabatrin.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Vigabatrin.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Vigabatrin.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tilidine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Vigabatrin is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Vigabatrin.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Trazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Vigabatrin.]
[A03AB12, mepenzolate, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Vigabatrin.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Trifluperidol.]
[N05AA05, triflupromazine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Vigabatrin.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Vigabatrin.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Vigabatrin.]
[A03BB01, butylscopolamine, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Vigabatrin.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Tubocurarine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Ezogabine.]
