[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Levetiracetam.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levetiracetam.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Levetiracetam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Sulthiame.]
[L01BB02, mercaptopurine, Levetiracetam may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Levetiracetam.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Levetiracetam.]
[L04AX02, thalidomide, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Levetiracetam may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Levetiracetam may increase the excretion rate of Theophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Levetiracetam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Levetiracetam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Levetiracetam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tiapride.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tilidine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Levetiracetam is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Levetiracetam.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Trazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Levetiracetam.]
[A03AB12, mepenzolate, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Levetiracetam.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Levetiracetam.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Levetiracetam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Levetiracetam.]
[A03BB01, butylscopolamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Levetiracetam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Levetiracetam.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ezogabine.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Viloxazine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Zuclopenthixol.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be increased when combined with Levetiracetam.]
[G04BD07, tolterodine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Atracurium.]
[S01FA01, atropine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01CA09, azlocillin, The therapeutic efficacy of Levetiracetam can be decreased when used in combination with Azlocillin.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Lorcaserin.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Rasagiline.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Levetiracetam.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levetiracetam.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Levetiracetam.]
[R06AC06, thonzylamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Diethyl ether.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Benperidol.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Benzocaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Levetiracetam.]
[N04AC01, benztropine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Levomilnacipran.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Vortioxetine.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be increased when combined with Levetiracetam.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Levetiracetam.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Tasimelteon.]
[A03BA03, hyoscyamine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Acepromazine.]
[N04AA02, biperiden, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX11, mirtazapine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[A03AA09, difemerine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Levetiracetam.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Levetiracetam.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be decreased when it is combined with Levetiracetam.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Brivaracetam.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Levetiracetam.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Levetiracetam.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Bupivacaine.]
[N07BC01, buprenorphine, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Levetiracetam.]
