[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Stiripentol.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Stiripentol.]
[J01GA01, streptomycin, Stiripentol may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Stiripentol.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[J01CG01, sulbactam, Stiripentol may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Sulfadiazine can be decreased when combined with Stiripentol.]
[J01EC01, sulfamethoxazole, The metabolism of Sulfamethoxazole can be decreased when combined with Stiripentol.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Stiripentol.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Stiripentol.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Stiripentol.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Stiripentol.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01BB02, mercaptopurine, Stiripentol may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA01, tacrine, The metabolism of Tacrine can be increased when combined with Stiripentol.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Stiripentol.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Stiripentol.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Stiripentol.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, The serum concentration of Dabigatran etexilate can be increased when it is combined with Stiripentol.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Stiripentol.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Stiripentol.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Stiripentol.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Stiripentol.]
