[S02DA03, antipyrine, The metabolism of Lacosamide can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Lacosamide.]
[L04AA27, fingolimod, Lacosamide may increase the bradycardic activities of Fingolimod.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lacosamide.]
[J01EC02, sulfadiazine, The metabolism of Lacosamide can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Lacosamide can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Lacosamide can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Lacosamide can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Lacosamide can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Lacosamide can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Lacosamide can be decreased when combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Lacosamide.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Lacosamide is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Lacosamide.]
[L01BB02, mercaptopurine, Lacosamide may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Lacosamide.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Lacosamide.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Lacosamide.]
[G03BA03, testosterone, The metabolism of Lacosamide can be increased when combined with Testosterone.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Lacosamide is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Lacosamide can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Lacosamide is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lacosamide.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Lacosamide.]
[L04AX02, thalidomide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Lacosamide may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Lacosamide.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Lacosamide.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Lacosamide.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Lacosamide.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Lacosamide.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Lacosamide.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lacosamide.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Lacosamide can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Lacosamide is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Lacosamide can be decreased when combined with Timolol.]
