[S02DA03, antipyrine, The metabolism of Perampanel can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Perampanel.]
[M03AB01, succinylcholine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[M04AB02, sulfinpyrazone, The metabolism of Perampanel can be increased when combined with Sulfinpyrazone.]
[N05AL01, sulpiride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sulpiride.]
[N03AX03, sulthiame, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sulthiame.]
[L01BB02, mercaptopurine, Perampanel may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DA01, tacrine, The metabolism of Perampanel can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Perampanel can be increased when combined with Tamoxifen.]
[N05CD07, temazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Temazepam.]
[L01CB02, teniposide, The metabolism of Teniposide can be increased when combined with Perampanel.]
[G03BA03, testosterone, The metabolism of Perampanel can be increased when combined with Testosterone.]
[S01HA03, tetracaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tetracaine.]
[N05AE05, lurasidone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N04BC07, apomorphine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[L04AX02, thalidomide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Perampanel may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be increased when combined with Perampanel.]
[P02CA02, thiabendazole, The metabolism of Perampanel can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be increased when combined with Perampanel.]
[N05CA19, thiopental, The metabolism of Perampanel can be increased when combined with Thiopental.]
[N05AB08, thioproperazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thioproperazine.]
[N05AC02, thioridazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thioridazine.]
[N05AF04, thiothixene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N05AL03, tiapride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tiapride.]
[B01AC05, ticlopidine, The metabolism of Perampanel can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tilidine.]
[M03BX04, tolperisone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be increased when combined with Perampanel.]
[N06AF04, tranylcypromine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[N06AX05, trazodone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trazodone.]
[L01XF01, tretinoin, The metabolism of Perampanel can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Perampanel can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Perampanel can be decreased when combined with Triamterene.]
[N05CD05, triazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Triazolam.]
[A03AB12, mepenzolate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N05AD02, trifluperidol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trifluperidol.]
[N05AA05, triflupromazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Perampanel can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Alimemazine.]
