[S02DA03, antipyrine, The metabolism of Brivaracetam can be decreased when combined with Antipyrine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Brivaracetam.]
[J01GA01, streptomycin, Brivaracetam may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Brivaracetam.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01CG01, sulbactam, Brivaracetam may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Brivaracetam can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Brivaracetam can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Brivaracetam can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Brivaracetam can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Brivaracetam can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Brivaracetam can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Brivaracetam can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Brivaracetam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Brivaracetam.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L01BB02, mercaptopurine, Brivaracetam may increase the excretion rate of Mercaptopurine which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Brivaracetam.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Brivaracetam.]
[L01CB02, teniposide, The metabolism of Brivaracetam can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, Terbutaline may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Brivaracetam may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Brivaracetam.]
[L04AX02, thalidomide, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Brivaracetam may increase the excretion rate of Theobromine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, Brivaracetam may increase the excretion rate of Theophylline which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Brivaracetam.]
[L01AC01, thiotepa, The metabolism of Brivaracetam can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Brivaracetam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Brivaracetam.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Brivaracetam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Thiothixene is combined with Brivaracetam.]
[G04BE06, moxisylyte, Brivaracetam may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Brivaracetam can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tilidine.]
[S01ED01, timolol, Timolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[S01AA12, tobramycin, Brivaracetam may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Brivaracetam is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Brivaracetam.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Brivaracetam can be decreased when combined with Tretinoin.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Brivaracetam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Brivaracetam may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Brivaracetam.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Alimemazine is combined with Brivaracetam.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Brivaracetam.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Brivaracetam.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Brivaracetam.]
[A03BB01, butylscopolamine, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Brivaracetam can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Brivaracetam.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Brivaracetam.]
[R03DX07, roflumilast, Roflumilast may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
