[P02BB01, trichlorfon, The therapeutic efficacy of Biperiden can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Biperiden.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AL01, sulpiride, Biperiden may increase the anticholinergic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06DA01, tacrine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Biperiden.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03CC03, terbutaline, The therapeutic efficacy of Biperiden can be decreased when used in combination with Terbutaline.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Biperiden.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AE05, lurasidone, The therapeutic efficacy of Biperiden can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, The risk or severity of Tachycardia and drowsiness can be increased when Biperiden is combined with Dronabinol.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Biperiden.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L01AC01, thiotepa, The therapeutic efficacy of Biperiden can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05AB08, thioproperazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Biperiden can be decreased when used in combination with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Biperiden.]
[B02AB01, aprotinin, The therapeutic efficacy of Biperiden can be decreased when used in combination with Aprotinin.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Biperiden.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Biperiden is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Biperiden.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Biperiden.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Biperiden.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Biperiden is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Biperiden can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Biperiden can be decreased when used in combination with Trifluoperazine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
