[P02BB01, trichlorfon, The therapeutic efficacy of Amantadine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01GA01, streptomycin, Amantadine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01CG01, sulbactam, Amantadine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, Sulfadiazine may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AL01, sulpiride, The therapeutic efficacy of Amantadine can be decreased when used in combination with Sulpiride.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N06DA01, tacrine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Amantadine.]
[N05CD07, temazepam, Temazepam may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Amantadine.]
[B01AE07, dabigatran etexilate, Amantadine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Tetrabenazine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Amantadine which could result in a higher serum level.]
[N05AE05, lurasidone, The therapeutic efficacy of Amantadine can be decreased when used in combination with Lurasidone.]
