[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Apomorphine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Apomorphine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Apomorphine.]
[J01EC02, sulfadiazine, The metabolism of Apomorphine can be decreased when combined with Sulfadiazine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Sulfamethoxazole.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Sulfisoxazole.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Apomorphine.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Apomorphine is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Apomorphine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Apomorphine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Apomorphine.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Terbutaline.]
[G03BA03, testosterone, The metabolism of Apomorphine can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tetracaine.]
[N05AE05, lurasidone, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[L04AX02, thalidomide, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Apomorphine can be decreased when combined with Theophylline.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Apomorphine is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Apomorphine.]
[L01AC01, thiotepa, The metabolism of Apomorphine can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the hypotensive activities of Apomorphine.]
[N05AB08, thioproperazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Thiothixene.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Apomorphine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of QTc prolongation can be increased when Timolol is combined with Apomorphine.]
[M02AX02, tolazoline, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tolazoline.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Apomorphine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Apomorphine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Apomorphine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the orthostatic hypotensive activities of Apomorphine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Apomorphine.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Apomorphine.]
[S01BA05, triamcinolone, The metabolism of Apomorphine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The risk or severity of adverse effects can be increased when Triamterene is combined with Apomorphine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Apomorphine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Apomorphine may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Apomorphine is combined with Trifluperidol.]
