[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Selegiline.]
[B01AD01, streptokinase, Selegiline may increase the orthostatic hypotensive activities of Streptokinase.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Selegiline.]
[J01EC02, sulfadiazine, The metabolism of Selegiline can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Selegiline can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Selegiline can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Selegiline can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Selegiline can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Selegiline can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Selegiline can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Selegiline.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Selegiline is combined with Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Selegiline is combined with Sulthiame.]
[A10BB04, glibornuride, Selegiline may increase the hypoglycemic activities of Glibornuride.]
[A10BC01, glymidine, Selegiline may increase the hypoglycemic activities of Glymidine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Selegiline is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Selegiline can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Selegiline.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Selegiline.]
[L01CB02, teniposide, The metabolism of Selegiline can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of hypertension can be increased when Terbutaline is combined with Selegiline.]
[B01AE07, dabigatran etexilate, The risk or severity of bleeding and hemorrhage can be increased when Selegiline is combined with Dabigatran etexilate.]
[G03BA03, testosterone, The metabolism of Selegiline can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Selegiline is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Selegiline is combined with Tetracaine.]
[N05AE05, lurasidone, The therapeutic efficacy of Selegiline can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Selegiline.]
[N04BC07, apomorphine, Selegiline may increase the orthostatic hypotensive activities of Apomorphine.]
[L04AX02, thalidomide, Selegiline may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Selegiline.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Selegiline.]
[P02CA02, thiabendazole, The metabolism of Selegiline can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of extrapyramidal symptoms can be increased when Selegiline is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Selegiline can be decreased when combined with Thiotepa.]
[N05CA19, thiopental, Selegiline may increase the orthostatic hypotensive activities of Thiopental.]
[N05AB08, thioproperazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Selegiline can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Selegiline can be decreased when used in combination with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Selegiline.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Selegiline is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Selegiline is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Selegiline can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Selegiline.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Selegiline.]
