[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Entacapone.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Entacapone.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Entacapone.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Entacapone is combined with Sulthiame.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Entacapone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Entacapone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Entacapone.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tetracaine.]
[N05AE05, lurasidone, The therapeutic efficacy of Entacapone can be decreased when used in combination with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Entacapone.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Entacapone is combined with Apomorphine.]
[L04AX02, thalidomide, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Entacapone.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Entacapone.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Entacapone is combined with Thiopental.]
[N05AB08, thioproperazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Thioproperazine.]
[N05AC02, thioridazine, The therapeutic efficacy of Entacapone can be decreased when used in combination with Thioridazine.]
[N05AF04, thiothixene, The therapeutic efficacy of Entacapone can be decreased when used in combination with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Entacapone.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Entacapone is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Entacapone.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Entacapone is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Entacapone.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Entacapone is combined with Tolperisone.]
