[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluphenazine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fluphenazine.]
[N05AL01, sulpiride, Fluphenazine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Fluphenazine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Fluphenazine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Fluphenazine.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Fluphenazine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Fluphenazine.]
[L04AX02, thalidomide, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Fluphenazine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Fluphenazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Fluphenazine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Fluphenazine.]
[N02AX01, tilidine, The risk or severity of hypotension and CNS depression can be increased when Fluphenazine is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Fluphenazine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Fluphenazine.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Fluphenazine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Fluphenazine.]
[N06AF04, tranylcypromine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Fluphenazine.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trazodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Triazolam.]
[A03AB12, mepenzolate, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Fluphenazine.]
[A03AA05, trimebutine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Fluphenazine.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Fluphenazine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Fluphenazine.]
[A03BB01, butylscopolamine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Vilazodone is combined with Fluphenazine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Fluphenazine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tubocurarine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ezogabine.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Viloxazine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Fluphenazine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Levetiracetam.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Ziprasidone.]
[G04BD07, tolterodine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Fluphenazine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Atracurium.]
[S01FA01, atropine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Lorcaserin is combined with Fluphenazine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Fluphenazine.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Fluphenazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Barbital.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Fluphenazine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Fluphenazine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Fluphenazine.]
[R06AC06, thonzylamine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Fluphenazine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Fluphenazine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Fluphenazine.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Pomalidomide.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Benperidol.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Fluphenazine.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Fluphenazine.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Fluphenazine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Fluphenazine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Benzatropine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Fluphenazine.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Fluphenazine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Fluphenazine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Fluphenazine.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Fluphenazine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Tasimelteon.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Fluphenazine.]
[A03BA03, hyoscyamine, Fluphenazine may increase the anticholinergic activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Fluphenazine.]
