[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Prochlorperazine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Prochlorperazine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Prochlorperazine.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Prochlorperazine.]
[N05AL01, sulpiride, Prochlorperazine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Prochlorperazine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Prochlorperazine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Prochlorperazine.]
[L01CB02, teniposide, Prochlorperazine may increase the neurotoxic activities of Teniposide.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Prochlorperazine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Prochlorperazine.]
[L04AX02, thalidomide, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Prochlorperazine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Prochlorperazine.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Prochlorperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiopental.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Thiothixene.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Prochlorperazine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Prochlorperazine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Tilidine.]
[S01ED01, timolol, The serum concentration of Timolol can be increased when it is combined with Prochlorperazine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Prochlorperazine.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Prochlorperazine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Prochlorperazine is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Prochlorperazine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Prochlorperazine.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Triazolam.]
[A03AB12, mepenzolate, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Trifluoperazine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Trifluperidol.]
[N05AA05, triflupromazine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Prochlorperazine.]
[A03AA05, trimebutine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Prochlorperazine.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Prochlorperazine.]
[R06AC04, tripelennamine, The metabolism of Prochlorperazine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Prochlorperazine.]
[A03BB01, butylscopolamine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Prochlorperazine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Prochlorperazine can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Prochlorperazine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tubocurarine.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Prochlorperazine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Prochlorperazine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Prochlorperazine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Prochlorperazine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Prochlorperazine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Prochlorperazine.]
[C08DA01, verapamil, The metabolism of Prochlorperazine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Prochlorperazine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Prochlorperazine can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, Prochlorperazine may increase the neurotoxic activities of Vincristine.]
[S01AA13, fusidic acid, The metabolism of Prochlorperazine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Prochlorperazine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Prochlorperazine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Vemurafenib.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Prochlorperazine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ziprasidone.]
[G04BD07, tolterodine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, The serum concentration of Atenolol can be increased when it is combined with Prochlorperazine.]
[J02AC03, voriconazole, The metabolism of Prochlorperazine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Atracurium.]
[S01FA01, atropine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Prochlorperazine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[A08AA11, lorcaserin, The metabolism of Prochlorperazine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Prochlorperazine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Prochlorperazine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Prochlorperazine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Prochlorperazine can be decreased when it is combined with Enzalutamide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AC02, calcium silicate, Calcium silicate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Prochlorperazine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Prochlorperazine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Prochlorperazine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Prochlorperazine.]
[R06AC06, thonzylamine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Prochlorperazine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Diethyl ether.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Pasireotide is combined with Prochlorperazine.]
[G04BE03, sildenafil, The metabolism of Prochlorperazine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Prochlorperazine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Prochlorperazine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Prochlorperazine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Prochlorperazine can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Prochlorperazine can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Prochlorperazine.]
[A06AX06, tegaserod, The metabolism of Prochlorperazine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Prochlorperazine.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Benzocaine.]
