[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Trifluoperazine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trifluoperazine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Trifluoperazine.]
[N05AL01, sulpiride, Trifluoperazine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Sulthiame.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Trifluoperazine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Azapropazone.]
[N06DA01, tacrine, The metabolism of Trifluoperazine can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Trifluoperazine can be decreased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Trifluoperazine.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Trifluoperazine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Trifluoperazine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tetracaine.]
[N05AE05, lurasidone, Trifluoperazine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Trifluoperazine.]
[L04AX02, thalidomide, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Trifluoperazine.]
[R03DA04, theophylline, The metabolism of Trifluoperazine can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Trifluoperazine can be decreased when combined with Thiabendazole.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Trifluoperazine.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiopental.]
[N05AB08, thioproperazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Thioridazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Trifluoperazine is combined with Moxisylyte.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Trifluoperazine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Tilidine.]
[S01ED01, timolol, The serum concentration of Timolol can be increased when it is combined with Trifluoperazine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Trifluoperazine.]
[M02AX02, tolazoline, Tolazoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Trifluoperazine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Trifluoperazine.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Trifluoperazine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of extrapyramidal symptoms can be increased when Tranylcypromine is combined with Trifluoperazine.]
[N06AX05, trazodone, Trazodone may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[C03DB02, triamterene, The metabolism of Trifluoperazine can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trifluoperazine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
