[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Droperidol is combined with Antipyrine.]
[M03AB01, succinylcholine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Droperidol.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Droperidol.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Droperidol is combined with Sulindac.]
[N05AL01, sulpiride, Droperidol may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sulthiame.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Droperidol is combined with Azapropazone.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Droperidol.]
[N05CD07, temazepam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Temazepam.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Droperidol.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Droperidol.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Droperidol is combined with Tetrabenazine.]
[S01HA03, tetracaine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tetracaine.]
[N05AE05, lurasidone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Droperidol.]
[N04BC07, apomorphine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Apomorphine.]
[L04AX02, thalidomide, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Droperidol.]
[R06AD03, thiethylperazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiethylperazine.]
[N05CA19, thiopental, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiopental.]
[N05AB08, thioproperazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thioproperazine.]
[N05AC02, thioridazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thioridazine.]
[N05AF04, thiothixene, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Droperidol is combined with Moxisylyte.]
[N05AL03, tiapride, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tiapride.]
[N02AX01, tilidine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tilidine.]
[S01ED01, timolol, Timolol may increase the orthostatic hypotensive activities of Droperidol.]
[M02AX02, tolazoline, Droperidol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Droperidol is combined with Tolmetin.]
[M03BX04, tolperisone, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tolperisone.]
[N02AX02, tramadol, The risk or severity of CNS depression can be increased when Droperidol is combined with Tramadol.]
[N06AF04, tranylcypromine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Droperidol.]
[N05CD05, triazolam, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Triazolam.]
[C03AA06, trichlormethiazide, Droperidol may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trifluoperazine.]
[N05AD02, trifluperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trifluperidol.]
[N05AA05, triflupromazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Droperidol.]
[A03AA05, trimebutine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Alimemazine.]
[N03AC02, trimethadione, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trimethadione.]
