[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Antipyrine is combined with Lurasidone.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lurasidone.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Lurasidone.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Lurasidone.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Lurasidone.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Lurasidone.]
[N05AL01, sulpiride, Lurasidone may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Sulthiame is combined with Lurasidone.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Lurasidone.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Lurasidone.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Azapropazone is combined with Lurasidone.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Lurasidone.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Lurasidone.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Lurasidone.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Lurasidone.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Lurasidone is combined with Tetracaine.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lurasidone.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Lurasidone.]
[L04AX02, thalidomide, Lurasidone may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Lurasidone.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Lurasidone.]
[N05AB08, thioproperazine, Thioproperazine may increase the hypotensive activities of Lurasidone.]
