[S02DA03, antipyrine, The metabolism of Thiothixene can be decreased when combined with Antipyrine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiothixene.]
[J01EC01, sulfamethoxazole, The risk or severity of QTc prolongation can be increased when Sulfamethoxazole is combined with Thiothixene.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Sulfisoxazole.]
[N05AL01, sulpiride, Thiothixene may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Thiothixene is combined with Sulthiame.]
[N06DA01, tacrine, The metabolism of Thiothixene can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The risk or severity of QTc prolongation can be increased when Tamoxifen is combined with Thiothixene.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Thiothixene.]
[L01CB02, teniposide, Teniposide may increase the neurotoxic activities of Thiothixene.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Thiothixene.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tetracaine.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Thiothixene.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Thiothixene.]
[L04AX02, thalidomide, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Thiothixene can be decreased when combined with Theobromine.]
[R03DA04, theophylline, The metabolism of Thiothixene can be decreased when combined with Theophylline.]
[P02CA02, thiabendazole, The metabolism of Thiothixene can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Eribulin.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Thiothixene.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Thiothixene.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Thioproperazine is combined with Thiothixene.]
[N05AC02, thioridazine, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Thioridazine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Thiothixene can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Thiothixene.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Thiothixene is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Thiothixene.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Thiothixene.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Thiothixene.]
[C03DB02, triamterene, The metabolism of Thiothixene can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Triazolam is combined with Thiothixene.]
[A03AB12, mepenzolate, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Thiothixene.]
