[S02DA03, antipyrine, The metabolism of Pimozide can be decreased when combined with Antipyrine.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pimozide.]
[J01EC01, sulfamethoxazole, The metabolism of Pimozide can be decreased when combined with Sulfamethoxazole.]
[M04AB02, sulfinpyrazone, The metabolism of Pimozide can be increased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The risk or severity of QTc prolongation can be increased when Sulfisoxazole is combined with Pimozide.]
[N05AL01, sulpiride, Pimozide may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Pimozide is combined with Sulthiame.]
[N06DA01, tacrine, The metabolism of Pimozide can be decreased when combined with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Pimozide can be increased when combined with Tamoxifen.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Pimozide.]
[L01CB02, teniposide, The metabolism of Pimozide can be decreased when combined with Teniposide.]
[R03CC03, terbutaline, The risk or severity of QTc prolongation can be increased when Terbutaline is combined with Pimozide.]
[G03BA03, testosterone, The metabolism of Pimozide can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of adverse effects can be increased when Pimozide is combined with Tetracaine.]
[S03AA02, tetracycline, The metabolism of Pimozide can be decreased when combined with Tetracycline.]
[N05AE05, lurasidone, The risk or severity of QTc prolongation can be increased when Lurasidone is combined with Pimozide.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Pimozide.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Pimozide.]
[L04AX02, thalidomide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Pimozide.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Pimozide.]
[P02CA02, thiabendazole, The metabolism of Pimozide can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Pimozide.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Pimozide.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Pimozide.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Pimozide.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Thioproperazine.]
[N05AC02, thioridazine, The metabolism of Pimozide can be decreased when combined with Thioridazine.]
[N05AF04, thiothixene, The risk or severity of QTc prolongation can be increased when Thiothixene is combined with Pimozide.]
[C01BB04, aprindine, The metabolism of Pimozide can be decreased when combined with Aprindine.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Pimozide is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Pimozide can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Pimozide is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Pimozide.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Pimozide is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Pimozide.]
[N06AF04, tranylcypromine, The metabolism of Pimozide can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Pimozide.]
[L01XF01, tretinoin, The metabolism of Pimozide can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Pimozide can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Pimozide can be decreased when combined with Triamterene.]
[N05CD05, triazolam, The metabolism of Pimozide can be decreased when combined with Triazolam.]
[A03AB12, mepenzolate, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Trifluoperazine is combined with Pimozide.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Pimozide is combined with Trifluperidol.]
[N05AA05, triflupromazine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Pimozide.]
[R03BA07, mometasone, The metabolism of Pimozide can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Alimemazine is combined with Pimozide.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Pimozide.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Pimozide.]
[R06AC04, tripelennamine, The metabolism of Pimozide can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Pimozide.]
[A03BB01, butylscopolamine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Pimozide can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Pimozide can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Pimozide.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Pimozide is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Pimozide.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Pimozide can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Pimozide can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Pimozide can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Pimozide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Pimozide can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Pimozide.]
[B01AF01, rivaroxaban, The metabolism of Pimozide can be decreased when combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Pimozide.]
[B01AC24, ticagrelor, The metabolism of Pimozide can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Pimozide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Pimozide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Pimozide can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Pimozide can be decreased when combined with Vincristine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Pimozide.]
[A11HA03, vitamin E, The metabolism of Pimozide can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Pimozide.]
[S01AA13, fusidic acid, The metabolism of Pimozide can be decreased when combined with Fusidic acid.]
[N05AF05, zuclopenthixol, The metabolism of Pimozide can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Pimozide can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Pimozide is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Pimozide.]
[L01FX05, brentuximab vedotin, The metabolism of Pimozide can be decreased when combined with Brentuximab vedotin.]
[L01ED01, crizotinib, The metabolism of Pimozide can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Pimozide can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Pimozide.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Pimozide.]
