[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Clozapine.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be decreased when combined with Clozapine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Clozapine.]
[J01GA01, streptomycin, Clozapine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[L01AD04, streptozocin, The risk or severity of neutropenia can be increased when Streptozocin is combined with Clozapine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A02BX02, sucralfate, Clozapine may decrease the excretion rate of Sucralfate which could result in a higher serum level.]
[J01CG01, sulbactam, Clozapine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Clozapine.]
[S01AB01, sulfamethizole, The metabolism of Clozapine can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Clozapine.]
[J01EC03, sulfamoxole, The metabolism of Clozapine can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Clozapine can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Sulfinpyrazone can be decreased when combined with Clozapine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Clozapine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Clozapine is combined with Sulindac.]
[N05AL01, sulpiride, Clozapine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Clozapine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Clozapine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Clozapine is combined with Azapropazone.]
[L01BB02, mercaptopurine, The risk or severity of neutropenia can be increased when Mercaptopurine is combined with Clozapine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Clozapine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Clozapine.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Clozapine.]
[L01CB02, teniposide, The risk or severity of neutropenia can be increased when Teniposide is combined with Clozapine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Clozapine.]
[B01AE07, dabigatran etexilate, Clozapine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Clozapine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Clozapine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S03AA02, tetracycline, The metabolism of Tetracycline can be decreased when combined with Clozapine.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N05AE05, lurasidone, The metabolism of Lurasidone can be decreased when combined with Clozapine.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Clozapine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Clozapine.]
[L04AX02, thalidomide, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
