[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Olanzapine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Olanzapine.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Olanzapine.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Olanzapine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Olanzapine.]
[N05AL01, sulpiride, Olanzapine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Olanzapine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Olanzapine.]
[N06DA01, tacrine, The metabolism of Tacrine can be decreased when combined with Olanzapine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Olanzapine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Olanzapine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Olanzapine.]
[G03BA03, testosterone, The metabolism of Testosterone can be decreased when combined with Olanzapine.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AE05, lurasidone, Olanzapine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Olanzapine.]
[L04AX02, thalidomide, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The metabolism of Theobromine can be decreased when combined with Olanzapine.]
[P02CA02, thiabendazole, The metabolism of Olanzapine can be decreased when combined with Thiabendazole.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Eribulin.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01AC01, thiotepa, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, The metabolism of Thiopental can be decreased when combined with Olanzapine.]
[N05AB08, thioproperazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Olanzapine.]
[B02AB01, aprotinin, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Aprotinin.]
[B03AB03, sodium ironedetate, Olanzapine can cause a decrease in the absorption of Sodium feredetate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Olanzapine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Tilidine.]
[S01ED01, timolol, Timolol may increase the orthostatic hypotensive activities of Olanzapine.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Olanzapine.]
[M02AX02, tolazoline, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Olanzapine.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Olanzapine is combined with Tramadol.]
[N06AF04, tranylcypromine, The metabolism of Olanzapine can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Olanzapine.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Olanzapine is combined with Tretinoin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Olanzapine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C03AA06, trichlormethiazide, The serum concentration of Trichlormethiazide can be increased when it is combined with Olanzapine.]
[A03AB12, mepenzolate, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AA05, triflupromazine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, The therapeutic efficacy of Trihexyphenidyl can be decreased when used in combination with Olanzapine.]
[A03AA05, trimebutine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Olanzapine is combined with Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Olanzapine.]
[N06AA06, trimipramine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Olanzapine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03BB01, butylscopolamine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Olanzapine can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09CA09, azilsartan medoxomil, The risk or severity of adverse effects can be increased when Olanzapine is combined with Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R03DX07, roflumilast, The metabolism of Roflumilast can be decreased when combined with Olanzapine.]
[S01AA05, tyrothricin, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Vandetanib.]
[L02BX03, abiraterone, The serum concentration of Olanzapine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be decreased when used in combination with Olanzapine.]
[J05AG05, rilpivirine, Olanzapine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Olanzapine.]
[C08DA01, verapamil, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Olanzapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Olanzapine can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Olanzapine may increase the hypotensive activities of Vincamine.]
[S01AA13, fusidic acid, The metabolism of Olanzapine can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, Olanzapine may increase the hypotensive activities of Xipamide.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Olanzapine.]
[N05AF05, zuclopenthixol, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, Olanzapine can cause a decrease in the absorption of Indinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Olanzapine.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Olanzapine.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Olanzapine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Olanzapine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Olanzapine.]
[G04BD07, tolterodine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Atenolol may increase the orthostatic hypotensive activities of Olanzapine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Olanzapine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[S01FA01, atropine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Olanzapine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Olanzapine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Olanzapine.]
[G04BE10, avanafil, Olanzapine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A08AA11, lorcaserin, The metabolism of Olanzapine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Olanzapine is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Olanzapine can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The metabolism of Enzalutamide can be decreased when combined with Olanzapine.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Olanzapine.]
[L01EA04, bosutinib, Olanzapine can cause a decrease in the absorption of Bosutinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA31, teriflunomide, The serum concentration of Olanzapine can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Olanzapine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J05AE04, nelfinavir, Olanzapine can cause a decrease in the absorption of Nelfinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Olanzapine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BD02, rasagiline, The therapeutic efficacy of Rasagiline can be decreased when used in combination with Olanzapine.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06DA02, donepezil, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AC06, thonzylamine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Olanzapine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Olanzapine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of hypotension and syncope can be increased when Sildenafil is combined with Olanzapine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Olanzapine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Olanzapine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Olanzapine is combined with Bencyclane.]
