[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Quetiapine is combined with Antipyrine.]
[B01AD01, streptokinase, The risk or severity of adverse effects can be increased when Streptokinase is combined with Quetiapine.]
[J01GA01, streptomycin, Quetiapine may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01CG01, sulbactam, Quetiapine may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The therapeutic efficacy of Sulfadiazine can be decreased when used in combination with Quetiapine.]
[J01EC01, sulfamethoxazole, The therapeutic efficacy of Sulfamethoxazole can be decreased when used in combination with Quetiapine.]
[S01AB02, sulfisoxazole, The therapeutic efficacy of Sulfisoxazole can be decreased when used in combination with Quetiapine.]
[M01AB02, sulindac, The risk or severity of hypertension can be increased when Sulindac is combined with Quetiapine.]
[N05AL01, sulpiride, Quetiapine may increase the antipsychotic activities of Sulpiride.]
[N03AX03, sulthiame, Sulthiame may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BB04, glibornuride, The therapeutic efficacy of Glibornuride can be decreased when used in combination with Quetiapine.]
[A10BC01, glymidine, The therapeutic efficacy of Glymidine can be decreased when used in combination with Quetiapine.]
[M01AX04, apazone, The risk or severity of hypertension can be increased when Quetiapine is combined with Azapropazone.]
[N06DA01, tacrine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Tacrine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Quetiapine.]
[N05CD07, temazepam, Temazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Quetiapine.]
[R03CC03, terbutaline, The therapeutic efficacy of Terbutaline can be decreased when used in combination with Quetiapine.]
[B01AE07, dabigatran etexilate, Quetiapine may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, Testosterone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N07XX06, tetrabenazine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Tetrabenazine.]
[S01HA03, tetracaine, Tetracaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AE05, lurasidone, Quetiapine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04BC07, apomorphine, The therapeutic efficacy of Apomorphine can be decreased when used in combination with Quetiapine.]
[L04AX02, thalidomide, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, Theobromine may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03DA04, theophylline, The metabolism of Theophylline can be decreased when combined with Quetiapine.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Quetiapine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01AC01, thiotepa, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Thiotepa.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AB08, thioproperazine, Quetiapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, The serum concentration of Quetiapine can be decreased when it is combined with Thioridazine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Quetiapine.]
[B02AB01, aprotinin, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, The risk or severity of hypertension can be increased when Quetiapine is combined with Moxisylyte.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[B01AC05, ticlopidine, The metabolism of Quetiapine can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Tilidine.]
[S01ED01, timolol, Quetiapine may increase the hypotensive activities of Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01AA12, tobramycin, Quetiapine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Quetiapine.]
[M02AX02, tolazoline, Quetiapine may increase the hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Quetiapine.]
[M02AA21, tolmetin, The risk or severity of hypertension can be increased when Tolmetin is combined with Quetiapine.]
