[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Diazepam.]
[J01GA01, streptomycin, Diazepam may decrease the excretion rate of Streptomycin which could result in a higher serum level.]
[M03AB01, succinylcholine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Diazepam.]
[A02BX02, sucralfate, Sucralfate may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01CG01, sulbactam, Diazepam may decrease the excretion rate of Sulbactam which could result in a higher serum level.]
[J01EC02, sulfadiazine, The metabolism of Diazepam can be decreased when combined with Sulfadiazine.]
[S01AB01, sulfamethizole, The metabolism of Diazepam can be decreased when combined with Sulfamethizole.]
[J01EC01, sulfamethoxazole, The metabolism of Diazepam can be decreased when combined with Sulfamethoxazole.]
[J01EC03, sulfamoxole, The metabolism of Diazepam can be decreased when combined with Sulfamoxole.]
[J01EB04, sulfapyridine, The metabolism of Diazepam can be decreased when combined with Sulfapyridine.]
[M04AB02, sulfinpyrazone, The metabolism of Diazepam can be decreased when combined with Sulfinpyrazone.]
[S01AB02, sulfisoxazole, The metabolism of Diazepam can be decreased when combined with Sulfisoxazole.]
[M01AB02, sulindac, Sulindac may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AL01, sulpiride, The risk or severity of adverse effects can be increased when Sulpiride is combined with Diazepam.]
[N03AX03, sulthiame, The risk or severity of adverse effects can be increased when Diazepam is combined with Sulthiame.]
[A10BB04, glibornuride, The metabolism of Glibornuride can be decreased when combined with Diazepam.]
[M01AX04, apazone, Azapropazone may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[L01BB02, mercaptopurine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Mercaptopurine.]
[L02BA01, tamoxifen, The metabolism of Tamoxifen can be decreased when combined with Diazepam.]
[N05CD07, temazepam, The risk or severity of adverse effects can be increased when Temazepam is combined with Diazepam.]
[L01CB02, teniposide, The metabolism of Teniposide can be decreased when combined with Diazepam.]
[R03CC03, terbutaline, Diazepam may decrease the excretion rate of Terbutaline which could result in a higher serum level.]
[B01AE07, dabigatran etexilate, Diazepam may decrease the excretion rate of Dabigatran etexilate which could result in a higher serum level.]
[G03BA03, testosterone, The metabolism of Diazepam can be decreased when combined with Testosterone.]
[N07XX06, tetrabenazine, The risk or severity of sedation and somnolence can be increased when Diazepam is combined with Tetrabenazine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Diazepam is combined with Tetracaine.]
[S03AA02, tetracycline, Tetracycline may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AE05, lurasidone, The risk or severity of adverse effects can be increased when Diazepam is combined with Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Diazepam.]
[N04BC07, apomorphine, The risk or severity of adverse effects can be increased when Apomorphine is combined with Diazepam.]
[L04AX02, thalidomide, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Thalidomide.]
[R03DA07, theobromine, The therapeutic efficacy of Diazepam can be decreased when used in combination with Theobromine.]
[R03DA04, theophylline, The therapeutic efficacy of Diazepam can be decreased when used in combination with Theophylline.]
[P02CA02, thiabendazole, Thiabendazole may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[R06AD03, thiethylperazine, The risk or severity of adverse effects can be increased when Thiethylperazine is combined with Diazepam.]
[N05CA19, thiopental, The risk or severity of adverse effects can be increased when Thiopental is combined with Diazepam.]
[N05AB08, thioproperazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Thioproperazine.]
[N05AC02, thioridazine, The risk or severity of adverse effects can be increased when Thioridazine is combined with Diazepam.]
[N05AF04, thiothixene, The risk or severity of adverse effects can be increased when Diazepam is combined with Thiothixene.]
[G04BE06, moxisylyte, Diazepam may decrease the excretion rate of Moxisylyte which could result in a higher serum level.]
[V04CJ01, thyrotropin, The therapeutic efficacy of Thyrotropin can be decreased when used in combination with Diazepam.]
[V04CJ02, thyrotropin-releasing hormone, The therapeutic efficacy of Protirelin can be decreased when used in combination with Diazepam.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Diazepam is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Diazepam can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Tilidine is combined with Diazepam.]
[S01ED01, timolol, The metabolism of Diazepam can be decreased when combined with Timolol.]
[P01AB02, tinidazole, Diazepam may decrease the excretion rate of Tinidazole which could result in a higher serum level.]
[S01AA12, tobramycin, Diazepam may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, Diazepam may decrease the excretion rate of Tolazamide which could result in a higher serum level.]
[V04CA01, tolbutamide, Diazepam may decrease the excretion rate of Tolbutamide which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Diazepam is combined with Tolperisone.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Diazepam.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Tranylcypromine is combined with Diazepam.]
[N06AX05, trazodone, The risk or severity of adverse effects can be increased when Diazepam is combined with Trazodone.]
[L01XF01, tretinoin, The metabolism of Diazepam can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Diazepam can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Diazepam is combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[A16AX12, trientine, Diazepam may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Diazepam is combined with Trifluperidol.]
[N05AA05, triflupromazine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Triflupromazine.]
[N04AA01, trihexyphenidyl, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The metabolism of Diazepam can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of adverse effects can be increased when Diazepam is combined with Alimemazine.]
